# 42 個地圖區塊的字串表
# 機器產生，不要手改（tools/extract_strings.py）
blk:game1:0:1	\x0DEntering Quartz.\x0D
blk:game1:1:36	Finster Way\x0D
blk:game1:1:37	Hell's Highway\x0D
blk:game1:1:38	Mountain Road\x0D
blk:game1:1:39	Moon Road\x0D
blk:game1:1:40	Loop Drive\x0D
blk:game1:1:41	Gray Bear Road\x0D
blk:game1:1:42	Target Trail\x0D
blk:game1:1:43	Lizard Lane\x0D
blk:game1:1:44	Short Street\x0D
blk:game1:1:45	Hubcap Blvd.\x0D
blk:game1:1:46	Possum Place\x0D
blk:game1:1:47	Pyramid Drive\x0D
blk:game1:1:48	Loco Lane\x0D
blk:game1:1:49	Devastation Row\x0D
blk:game1:1:50	Lowest Lane\x0D
blk:game1:1:51	Ryson Drive\x0D
blk:game1:1:52	N
blk:game1:1:53	\x0DThe power of the force stopped you, you hoser.\x0D
blk:game1:1:54	This manhole leads:\x0D\x0D\x11\x10South\x0D\x10East\x0D
blk:game1:1:55	This manhole leads:\x0D\x0D\x11\x10South\x0D\x10West\x0D
blk:game1:1:56	This manhole leads:\x0D\x0D\x11\x10North\x0D\x10South\x0D\x10East\x0D
blk:game1:1:57	This manhole leads:\x0D\x0D\x11\x10North\x0D\x10South\x0D\x10West\x0D
blk:game1:1:58	This manhole leads:\x0D\x0D\x11\x10North\x0D\x10East\x0D
blk:game1:1:59	This manhole leads:\x0D\x0D\x11\x10North\x0D\x10West\x0D
blk:game1:1:60	S
blk:game1:1:61	E
blk:game1:1:62	W
blk:game1:1:63	\x0DOuch!\x0D
blk:game1:1:64	\x07Welcome to the Quartz Emporium.\x0D
blk:game1:1:65	\x07Dr. Quack's emergency clinic.\x0D
blk:game1:1:66	\x0B attacks
blk:game1:1:67	\x0B triggers
blk:game1:1:68	\x0B discharges a burst
blk:game1:1:69	Sub-atomic particles burst from \x0B
blk:game1:1:70	\x0B fires full auto
blk:game1:1:71	\x0B chucks an explosive charge
blk:game1:1:72	\x0B lauches a shell
blk:game1:1:73	hits \x0F 
blk:game1:1:74	 for 
blk:game1:1:75	hits \x0F 
blk:game1:1:76	\x0F 
blk:game1:1:77	 \x0Ais\x0Aare\x0A raked in a crossfire of bullets for 
blk:game1:1:78	bores through \x0F 
blk:game1:1:79	tears a jagged rent in \x0F 
blk:game1:1:80	inflames \x0F 
blk:game1:1:81	 but fail\x0As\x0A\x0A to inflict any damage
blk:game1:1:82	 drills 
blk:game1:1:83	 blazes away at 
blk:game1:1:84	 sprays 
blk:game1:1:85	 triggers a burst at 
blk:game1:1:86	 fries 
blk:game1:1:87	 toasts 
blk:game1:1:88	 and hits for 
blk:game1:1:89	 beat\x0As\x0A\x0A 
blk:game1:1:90	 hammer\x0As\x0A\x0A 
blk:game1:1:91	 thrashes 
blk:game1:1:92	 mauls 
blk:game1:1:93	 whomps on 
blk:game1:1:94	 pounds at 
blk:game1:1:95	 and rips \x0Ehim\x0Eher\x0Eit\x0E to shreds
blk:game1:1:96	 and shreds \x0Ehim\x0Eher\x0Eit\x0E
blk:game1:1:97	 spinning \x0A\x0Ehim\x0Eher\x0Eit\x0E\x0A\x0F of them\x0A into a dance of death
blk:game1:1:98	 reducing \x0A\x0Ehim\x0Eher\x0Eit\x0E\x0A\x0F of them\x0A to a thin red paste
blk:game1:2:1	\x0DThis table is full and the people ignore you. You will have to sit elsewhere.\x0D
blk:game1:2:2	\x0DThis table is empty. Have a seat.\x0D
blk:game1:2:3	\x0DYou see some graffiti carved into the table. It says: 
blk:game1:2:4	\x0DAhh! You relieve yourself and feel much better.\x0D
blk:game1:2:5	\x0DThe graffiti here says, "Check out the Head Crusher in the back corner."\x0D
blk:game1:2:6	\x0DThere is a picture of a man painted on this door.\x0D
blk:game1:2:7	\x0DA man walking out gives the females among you a funny look.\x0D
blk:game1:2:8	\x0DThere is a picture of a woman painted on the door.\x0D
blk:game1:2:9	\x0DYou push in close and get shoved in the shoulder. "Watch where you push, boychik!"\x0D
blk:game1:2:10	Do you?\x0D\x0D\x11\x10A) Shove back\x0D\x10B) Apologize, back off\x0D\x10C) Ignore it\x0D\x10D) "Chill out," you say\x0D
blk:game1:2:11	A
blk:game1:2:12	B
blk:game1:2:13	C
blk:game1:2:14	D
blk:game1:2:15	E
blk:game1:2:16	F
blk:game1:2:17	\x0D
blk:game1:2:18	\x0DThe barkeep wipes up a spill. "How-do, Rangers! I'm Scott; this is my place."\x0D
blk:game1:2:19	The members of Ugly's gang jump you. Yellow-toothed snarls distort their twisted features.\x0D
blk:game1:2:20	\x0DThe thugs snicker and kick you out.\x0D
blk:game1:2:21	\x0DYou notice the thugs swinging back their fists for a sucker punch and avoid them. Now they look nasty.\x0D
blk:game1:2:22	\x0DYou were hit by a couple of sucker punches. You turn, and they look real nasty.\x0D
blk:game1:2:23	\x0DYou glower and the thugs mutter, then move off.\x0D
blk:game1:2:24	\x0DYou are beside a low stage.\x0D
blk:game1:2:25	\x0D"You handsome cur, you!" One of the dancers winks and crooks a finger, inviting you onto the stage!\x0D
blk:game1:2:26	\x0DThe moment you set foot on stage, some of the dancers run off screaming.\x0D
blk:game1:2:27	\x0DSeveral shapely dancers prance out onto the stage.\x0D
blk:game1:2:28	\x0DCatcalls resound. "You chased off the girls!" yell the barflies. "Now you entertain us!"\x0D
blk:game1:2:29	A bouncer and his friends step to center stage. "You do not belong here, bucko. Get off!"\x0D
blk:game1:2:30	\x0DThe stage is empty.\x0D
blk:game1:2:31	\x0D"You chased away the dancers!" cries the mob. "You have to entertain us!"\x0D
blk:game1:2:32	\x0DThe mob looks angry and will not let you pass unless you amuse them. They toss beer bottles and bad fruit.\x0D
blk:game1:2:33	Y
blk:game1:2:34	N
blk:game1:2:35	\x0DYou step out of Scott's bar.\x0D
blk:game1:2:36	\x0DScott's Bar is noisy and smoky with many people and tables. To the west is the bar. To the east is a low stage.\x0D
blk:game1:2:37	\x0D"Hey, quit pushing, Ranger! You are worse than the thugs in Ugly's gang."\x0D
blk:game1:2:38	You see two figures struggling in the corner. One turns and pulls a pistol. "Get out", he snarls.\x0D
blk:game1:2:39	\x0DYou hear sobs and whimpers from the corner.\x0D
blk:game1:2:40	\x0DA teenage boy is collapsed in the corner with his head in his arms. "Don't kill me!" he cries. "I'll tell you anything!"\x0D
blk:game1:2:41	What do you want to talk about?\x0D
blk:game1:2:42	UGLY
blk:game1:2:43	GANG
blk:game1:2:44	MAYOR
blk:game1:2:45	RIDDLES
blk:game1:2:46	RIDDLER
blk:game1:2:47	\x0DAll of you can't sit here!\x0D
blk:game1:2:48	\x0DYou show him you mean no harm. He is shaken but will answer questions if he can.\x0D
blk:game1:2:49	\x0DThe kid spits, "That leather-wrapped monosynaptic bully! He tried to pick up my sister Laurie!"\x0D
blk:game1:2:50	BYE
blk:game1:2:51	GOODBYE
blk:game1:2:52	THANKS
blk:game1:2:53	THANK YOU
blk:game1:2:54	\x0DThese freaks are all over Quartz. Lots of them are at the Courthouse, and more on Devastation Row.\x0D
blk:game1:2:55	COURTHOUSE
blk:game1:2:56	\x0D"Everyone in town knows where they are keeping the mayor. The courthouse is on Quail Trail."\x0D
blk:game1:2:57	\x0D"Goodbye, and thanks to you too!"\x0D
blk:game1:2:58	\x0D"That old coot sure has weird riddles! Laurie copied one right answer on one of the tabletops."\x0D
blk:game1:2:59	\x0D"Have you heard about Ugly's gang at the courthouse? Talk to the riddler north of the bar."\x0D
blk:game1:2:60	\x0DHe looks at you somewhat baffled, then shrugs. Evidently he has no information on that.\x0D
blk:game1:2:61	Sitting here is a mean looking wrestler-like thug, smiling vacuously as he drinks from an dirty glass. Want to pick a topic?\x0D
blk:game1:2:62	CHAT
blk:game1:2:63	DANCER
blk:game1:2:64	DRINK
blk:game1:2:65	\x0D"I sure love to chat, but that topic bores me," he says, and drinks his cloudy drink.\x0D
blk:game1:2:66	\x0D"You like the Mutie Cuties? One of them is a terrible flirt. She gets people in trouble."\x0D
blk:game1:2:67	\x0D"Seen the dancer yet? You don't think I look mutant, do you?"\x0D
blk:game1:2:68	You see an old man sitting here looking glum. "Buy me a drink, kiddo?" he asks.\x0D\x0D\x11\x10Yes\x0D\x10No\x0D
blk:game1:2:69	\x0DThe old codger smiles a gap-toothed grin. "Thank ye kindly!" he says.\x0D\x0D\x11\x10Yes\x0D\x10No\x0D
blk:game1:2:70	\x0DHe takes your refusal apathetically.\x0D
blk:game1:2:71	\x0DAn impish oldster grins as you come up. He says, "You look bright. Any good at riddles? Answer right, be rewarded!"\x0D
blk:game1:2:72	His eyes twinkle. "Buy me a drink, bucko. Riddles are thirsty work!"\x0D\x0D\x11\x10Yes\x0D\x10No\x0D
blk:game1:2:73	\x0DThe old riddler laughs. "You'll be back when your curiosity gets the better of you!"\x0D
blk:game1:2:74	"What is often eaten for breakfast, sometimes eaten at lunch, but usually drunk only at dinner?"\x0D
blk:game1:2:75	TOAST
blk:game1:2:76	\x0D"Congratulations! That is quite right."\x0D
blk:game1:2:77	"So you will have another riddle. First, buy me another drink, okay"\x0D\x0D\x11\x10Yes\x0D\x10No\x0D
blk:game1:2:78	\x0DThe old man grins, showing yellow teeth. "Nice try, he says, but no cigar."\x0D
blk:game1:2:79	"What is found in the center of both America and Australia?"\x0D
blk:game1:2:80	R
blk:game1:2:81	LETTER R
blk:game1:2:82	THE LETTER R
blk:game1:2:83	"Last riddle", he says, "but important. In just 8 letters, how do you compliment the barmaid?"\x0D
blk:game1:2:84	URABUTLN
blk:game1:2:85	\x0D"Absolutely correct!" he chortles. "Tell her so, and your work will become easier." He thanks you for the drinks and leaves.\x0D
blk:game1:2:86	\x0DA pretty barmaid speeds by. Her nametag says: "Hi, I'm Ellen!" She only stands still near the bar.\x0D
blk:game1:2:87	The barmaid Ellen is harried. "You got something to say to me?" she asks brusquely.\x0D
blk:game1:2:88	\x0D"I got tables to wait. Get yer drinks from Scott."\x0D
blk:game1:2:89	\x0D"Gwaan! I have no time to yak with yahoos like you!"\x0D
blk:game1:2:90	\x0DShe grins broadly. "URAQT2, and trustworthy to boot, I bet."\x0D
blk:game1:2:91	\x0D"Take my roomkey - Stagecoach, 18 - you'll know what to do." She winks and goes back to work.\x0D
blk:game1:2:92	"What'll it be?" asks Scott.\x0D\x0D\x11\x10A) Plain sludge\x0D\x10B) Fancy sludge\x0D\x10C) Firewater\x0D\x10D) Coffee\x0D\x10E) Info\x0D\x10F) Chat\x0D
blk:game1:2:93	\x0DGack... the stuff tastes horrible!\x0D
blk:game1:2:94	\x0DYikes! That stuff burns all the way down.\x0D
blk:game1:2:95	\x0DScott grins. "Best in town - what I drink myself!"\x0D
blk:game1:2:96	\x0D"We don't have any of that?"\x0D
blk:game1:2:97	\x0D"I wish I had time to chat!" moans Scott. "You may have better luck elsewhere in the bar, though."\x0D
blk:game1:2:98	"Info costs, too:"\x0D\x0D\x11\x10A) Dancer $1\x0D\x10B) Thugs $20\x0D\x10C) Riddles $10\x0D\x10D) Ammo $5\x0D\x10E) Rangers $5\x0D
blk:game1:2:99	\x0D"Ugly has three toughs who keep the combination to his vault. They are triplets."\x0D
blk:game1:2:100	\x0D"The answer to the last riddle is on the far northeast tabletop."\x0D
blk:game1:2:101	\x0D"You can buy ammo at the store on the corner of Moon Rd. & Loop Dr."\x0D
blk:game1:2:102	\x0D"A guy named Ace is looking for a few good fighters to go back to Vegas with him. Something nasty is going on there."\x0D
blk:game1:2:103	\x0DThe locals at this table are talking among themselves. They stop, staring at you until you move away.\x0D
blk:game1:2:104	\x0DYou overheard enough to realize the townspeople are concerned about the mayor and other hostages held by the gang.\x0D
blk:game1:2:105	\x0DRead paragraph 23.\x0D
blk:game1:2:106	\x0DA well-muscled woman stops you at the door. "There are ladies inside, gents. Use your own."\x0D
blk:game1:2:107	\x0DThe woman is adamant and will not let the men enter.\x0D
blk:game1:2:108	\x0DBy the sinks are two women who stopped talking when you entered. One lady has been crying.\x0D
blk:game1:2:109	\x0DYou say something that instantly charms these two, and they smile. "Maybe you can help us?" they say.\x0D
blk:game1:2:110	\x0DThey stare at you silently.\x0D
blk:game1:2:111	\x0DRead paragraph 10.\x0D
blk:game1:2:112	"Don't touch that dial; we want to hear Ratt again!" The thugs by the jukebox draw blades and attack.\x0D
blk:game1:2:113	\x0DYou notice something written on the dead carcass.\x0D
blk:game1:2:114	\x0DThe words are: GEN QUART THANA TOES.\x0D
blk:game1:2:115	\x0DYou get a flash of insight: their general HQ, probably a hideout, uses a password THANATOS.\x0D
blk:game1:2:116	\x0DOn this tabletop someone spelled out UQTU in liquid from a spilled drink.\x0D
blk:game1:2:117	A gunsel steps from the shadows, snapping, "We have a private game here. You are not invited!"\x0D
blk:game1:2:118	The card players stop their game and grab guns. One carries a rifle!\x0D
blk:game1:2:119	\x0D"I cannot waste time with your foolishness", she glares and hurries to another table.\x0D
blk:game1:2:120	\x0DScott shrugs at you and continues cleaning.\x0D
blk:game1:2:121	\x0DWham! Smack into the wall! Behind you, someone mutters about the drunks they let into this place.\x0D
blk:game1:2:122	\x0DYou look out the barred window into the street. Things look pretty quiet.\x0D
blk:game1:2:123	\x0DYou always walk into walls?\x0D
blk:game1:2:124	\x0D"Hey, no drunks on the bar!" yells the bartender.\x0D
blk:game1:2:125	\x0DThe stall is only big enough for one person.\x0D
blk:game1:2:126	Some thugs don't like the way you part your hair.\x0D
blk:game1:2:127	\x0DYou don't have enough money.\x0D
blk:game1:2:128	\x0DYour antics amused the crowd and they let you come off the stage.\x0D
blk:game1:2:129	\x0DThe crowd is annoyed with your inept attempt. They lob rotten fruit and beer bottles at you.\x0D
blk:game1:2:130	\x0D"Hey, watch it! I'm sittin here."\x0D
blk:game1:2:131	\x0DHead Crusher invites you to sit down.\x0D
blk:game1:2:132	\x0DRead paragraph 57.\x0D
blk:game1:2:133	\x0D"Stay off the tables!"\x0D
blk:game1:2:134	\x0B attacks
blk:game1:2:135	\x0B fires
blk:game1:2:136	\x0B discharges a burst
blk:game1:2:137	Sub-atomic particles burst from \x0B
blk:game1:2:138	\x0B burns a clip
blk:game1:2:139	\x0B chucks an explosive charge
blk:game1:2:140	\x0B blasts a rocket off
blk:game1:2:141	hits \x0F 
blk:game1:2:142	 for 
blk:game1:2:143	nails \x0F 
blk:game1:2:144	\x0F 
blk:game1:2:145	 \x0Ais\x0Aare\x0A raked in a crossfire of bullets for 
blk:game1:2:146	irradiates \x0F 
blk:game1:2:147	scores a dark chasm in \x0F 
blk:game1:2:148	incinerates \x0F 
blk:game1:2:149	 but fail\x0As\x0A\x0A to inflict any damage
blk:game1:2:150	 drills 
blk:game1:2:151	 blazes away at 
blk:game1:2:152	 sprays 
blk:game1:2:153	 triggers a burst at 
blk:game1:2:154	 fries 
blk:game1:2:155	 toasts 
blk:game1:2:156	 and hits for 
blk:game1:2:157	 brutalize\x0As\x0A\x0A 
blk:game1:2:158	 hammer\x0As\x0A\x0A 
blk:game1:2:159	 thrashes 
blk:game1:2:160	 bashes 
blk:game1:2:161	 bowls into 
blk:game1:2:162	 pounces on 
blk:game1:2:163	 and frags \x0Ehim\x0Eher\x0Eit\x0E
blk:game1:2:164	 and shreds \x0Ehim\x0Eher\x0Eit\x0E
blk:game1:2:165	 blasting \x0A\x0Ehim\x0Eher\x0Eit\x0E\x0A\x0F of them\x0A into ground round
blk:game1:2:166	 exploding \x0A\x0Ehim\x0Eher\x0Eit\x0E\x0A\x0F of them\x0A like a blood sausage
blk:game1:3:1	\x0DThe door is locked.\x0D
blk:game1:3:2	\x0DThe door opens.\x0D
blk:game1:3:3	\x0DThe door didn't open.\x0D
blk:game1:3:4	\x0DAs you exit the from the tunnel, you startle a sleeping hobo and he runs off.\x0D
blk:game1:3:5	\x0DYou swim next to the edge.\x0D
blk:game1:3:6	\x0DGlub, glub!\x0D
blk:game1:3:7	\x0DGoing into a tunnel.\x0D
blk:game1:3:8	\x0DYou are having trouble keeping your head above water.\x0D
blk:game1:3:9	\x0DYou swim with ease.\x0D
blk:game1:3:10	\x0DYou are on the deck beside the pool.\x0D
blk:game1:3:11	\x0DOn the table are food wrappers, bottles, ashtrays and roaches.\x0D
blk:game1:3:12	\x0DThe litter is revolting and the stench makes you sick.\x0D
blk:game1:3:13	\x0DIt's covered with fingerprints but you spot one unopened bottle.\x0D
blk:game1:3:14	\x0DA chair slumps by the wall.\x0D
blk:game1:3:15	\x0DA dingy bed leans on the wall. Its legs barely hold it up.\x0D
blk:game1:3:16	\x0DA sign reads: CLOSED.\x0D
blk:game1:3:17	\x0DThere is a lobby desk here with a sleepy local behind it. A wood railing splits the room.\x0D
blk:game1:3:18	The clerk asks, "Looking for INFO or a ROOM?"\x0D
blk:game1:3:19	INFO
blk:game1:3:20	ROOM
blk:game1:3:21	\x0D"Rooms cost $50," he says. "No charge for that!"\x0D
blk:game1:3:22	\x0D"Here is your key, Room 10."\x0D
blk:game1:3:23	\x0D"Eh? I didn't catch that. Left ear is a bit deaf."\x0D
blk:game1:3:24	\x0DA clerk works near the files.\x0D
blk:game1:3:25	\x0DThe wood railing is in your way.\x0D
blk:game1:3:26	\x0DYou pass the railing.\x0D
blk:game1:3:27	\x0DYou wrench your back trying, but the railing is still in your way.\x0D
blk:game1:3:28	\x0DThe carpet is bloodstained.\x0D
blk:game1:3:29	\x0DA bloody sign reads: CLOSED. Step to your left.\x0D
blk:game1:3:30	\x0DThe dying clerk groans, "The booby trap will getcha!"\x0D
blk:game1:3:31	\x0DThis file cabinet is locked.\x0D
blk:game1:3:32	\x0DYou notice a twist of wire and suspect that doing the wrong thing will blow it.\x0D
blk:game1:3:33	\x0DFortunately, you traced the right wire and disarmed it.\x0D
blk:game1:3:34	\x0DThe lock opens. There are hotel records, a cash box, and an item of real interest...\x0D
blk:game1:3:35	\x0DWelcome to Stagecoach Inn.\x0D
blk:game1:3:36	\x0DThe sign above the door says LOBBY.\x0D
blk:game1:3:37	\x0DThe sign on the saloon door says Cookie's Chuckwagon.\x0D
blk:game1:3:38	\x0DYou are in the diner. The place looks deserted.\x0D
blk:game1:3:39	\x0DThis table is covered with dirty dishes.\x0D
blk:game1:3:40	\x0DThe glass is greasy with fish oil and the plate is covered with fish bones.\x0D
blk:game1:3:41	\x0DAn old cook shakes a spoon at you. "I told ya to stay outa here!"\x0D
blk:game1:3:42	\x0DCookie tips a bucket of hot grease on you. "I said you would regret it!" he cackles.\x0D
blk:game1:3:43	\x0DThe old chef cowers. "Lemme alone!"\x0D
blk:game1:3:44	\x0DIf you go for the mayor, go to the top floor. You'll need explosives.\x0D
blk:game1:3:45	\x0DCookie waves at you. Go on, you have no business here and you might slip in the grease.\x0D
blk:game1:3:46	\x0DWhatcha doing back here again? Beat it!\x0D
blk:game1:3:47	10.\x0D
blk:game1:3:48	11.\x0D
blk:game1:3:49	12.\x0D
blk:game1:3:50	14.\x0D
blk:game1:3:51	15.\x0D
blk:game1:3:52	16.\x0D
blk:game1:3:53	17.\x0D
blk:game1:3:54	18.\x0D
blk:game1:3:55	19.\x0D
blk:game1:3:56	20.\x0D
blk:game1:3:57	\x0DThe door is stenciled "Housekeeping".\x0D
blk:game1:3:58	\x0DLeaving Stagecoach Inn.\x0D
blk:game1:3:59	"So I can be sure you are okay, tell me what you said to Mom, or what she said to you."\x0D
blk:game1:3:60	URAQT2
blk:game1:3:61	URABUTLN
blk:game1:3:62	NO
blk:game1:3:63	\x0D"You are all okay. We must be careful. I am sure you will free our town. Take what is on the table. It will help you free our town."\x0D
blk:game1:3:64	\x0DLaurie spins her wheelchair and says, "Good luck. I won't be here if you return."\x0D
blk:game1:3:65	\x0DThere is a plain table here.\x0D
blk:game1:3:66	\x0D"The hostages are on the 3rd floor of the courthouse. A back stairway goes up from the 1st floor."\x0D
blk:game1:3:67	\x0D"The stairs are in the file room. The doors are steel and they are not heavily protected."\x0D
blk:game1:3:68	\x0D"We have learned that the password into the courthouse is MUERTE."\x0D
blk:game1:3:69	\x0DYou realize she was a 20-year old woman in a wheelchair! You scum...\x0D
blk:game1:3:70	\x0DShe glares at you as she dies. "You would have done better with my help, were you more sensible."\x0D
blk:game1:3:71	\x0DYou splintered the door without realizing someone was behind it.\x0D
blk:game1:3:72	\x0DA young woman sprawls from her wheelchair, a spear of wood protruding from her throat.\x0D
blk:game1:3:73	\x0DThe shelf is dusty but empty.\x0D
blk:game1:3:74	\x0DThis wood cabinet is empty.\x0D
blk:game1:3:75	\x0DYou happened to glance under the bed. Fortunately, the maid forgot to clean under there!\x0D
blk:game1:3:76	"What are you are doing here?" snarls an outlaw. "Git em, Wolf!" he orders his dog.\x0D
blk:game1:3:77	"Chugbum, it is time for target practice," says one outlaw.\x0D
blk:game1:3:78	\x0DA bum stops you. "Bub, ya got some for me? I would shore appreshiate some."\x0D
blk:game1:3:79	\x0DThe bum beams. "Thank ye kindly! Over there is a trap door."\x0D
blk:game1:3:80	\x0DWhat am I supposed to do with that? Can't ya spare a little?\x0D
blk:game1:3:81	\x0DYou see bums sleeping in the alley.\x0D
blk:game1:3:82	\x0DA pile of junk leans against the fence. Poking at it scares out some rats.\x0D
blk:game1:3:83	\x0DBehind a shattered table is a trap door.\x0D
blk:game1:3:84	\x0DYou are extremely fortunate. You fail to disarm it but it does not blow up.\x0D
blk:game1:3:85	\x0DYou are fortunate...\x0D
blk:game1:3:86	\x0DYou cut the right wire and disarmed the booby trap.\x0D
blk:game1:3:87	\x0DBums have been living here. This place looks like a pigsty.\x0D
blk:game1:3:88	A mad-eyed bum lurches toward you, screaming wildly.\x0D
blk:game1:3:89	The bums share quarters with mangy mongrels. Smelling strangers, the dogs circle warily, then leap.\x0D
blk:game1:3:90	From a heap beside the chair, bums and curs together leap for your throat.\x0D
