monster:7mm Vulcan Cannon\x0A\x0As\x0A	7mm Vulcan Cannon\x0A\x0As\x0A
monster:Desert Scum	Desert Scum
monster:Desert Tube\x0A\x0As\x0A	Desert Tube\x0A\x0As\x0A
monster:Deserter\x0A\x0As\x0A	Deserter\x0A\x0As\x0A
monster:Dewey\x0A\x0As\x0A	Dewey\x0A\x0As\x0A
monster:Dire Coyote\x0A\x0As\x0A	Dire Coyote\x0A\x0As\x0A
monster:Doctor\x0A\x0As\x0A	Doctor\x0A\x0As\x0A
monster:Dog\x0A\x0As\x0A	Dog\x0A\x0As\x0A
monster:Drool\x0A\x0As\x0A	Drool\x0A\x0As\x0A
monster:Drunk\x0A\x0As\x0A	Drunk\x0A\x0As\x0A
monster:Executioner\x0A\x0As\x0A	Executioner\x0A\x0As\x0A
monster:F	F
monster:Faran Brygo	Faran Brygo
monster:Fat Freddy\x0A\x0As\x0A	Fat Freddy\x0A\x0As\x0A
monster:Felicia	Felicia
monster:Finster Dexter	Finster Dexter
monster:Finster Leviathan	Finster Leviathan
monster:Finster Sinister	Finster Sinister
monster:Follower\x0A\x0As\x0A	Follower\x0A\x0As\x0A
monster:Fusion Octotron\x0A\x0As\x0A	Fusion Octotron\x0A\x0As\x0A
monster:Gambler	Gambler
monster:Gambler\x0A\x0As\x0A	Gambler\x0A\x0As\x0A
monster:Gauss Needle Projector\x0A\x0As\x0A	Gauss Needle Projector\x0A\x0As\x0A
monster:Gecko\x0A\x0As\x0A	Gecko\x0A\x0As\x0A
monster:Gila Monitor\x0A\x0As\x0A	Gila Monitor\x0A\x0As\x0A
monster:Glowing Slime\x0A\x0As\x0A	Glowing Slime\x0A\x0As\x0A
monster:Glowviper\x0A\x0As\x0A	Glowviper\x0A\x0As\x0A
monster:Guard\x0A\x0As\x0A	Guard\x0A\x0As\x0A
monster:Guard Leader\x0A\x0As\x0A	Guard Leader\x0A\x0As\x0A
monster:Gundroid\x0A\x0As\x0A	Gundroid\x0A\x0As\x0A
monster:Gunm\x0Aa\x0Ae\x0An	Gunm\x0Aa\x0Ae\x0An
monster:Gunsel\x0A\x0As\x0A	Gunsel\x0A\x0As\x0A
monster:Harry	Harry
monster:Hexborg\x0A\x0As\x0A	Hexborg\x0A\x0As\x0A
monster:Hired Gun\x0A\x0As\x0A	Hired Gun\x0A\x0As\x0A
monster:Hobo	Hobo
monster:Housekeeper\x0A\x0As\x0A	Housekeeper\x0A\x0As\x0A
monster:Huey\x0A\x0As\x0A	Huey\x0A\x0As\x0A
monster:Humongous Coyote\x0A\x0As\x0A	Humongous Coyote\x0A\x0As\x0A
monster:Hunter\x0A\x0As\x0A	Hunter\x0A\x0As\x0A
monster:Insect\x0A\x0As\x0A	Insect\x0A\x0As\x0A
monster:Iron Wol\x0Af\x0Aves\x0A	Iron Wol\x0Af\x0Aves\x0A
monster:Irwin John Finster	Irwin John Finster
monster:Irwin John Finster\x0A\x0As\x0A	Irwin John Finster\x0A\x0As\x0A
monster:Jailer Corbett	Jailer Corbett
monster:Jailer Patrick	Jailer Patrick
monster:Jerk\x0A\x0As\x0A	Jerk\x0A\x0As\x0A
monster:Jerk Leader	Jerk Leader
monster:Junk Master\x0A\x0As\x0A	Junk Master\x0A\x0As\x0A
monster:Juv\x0Aenile\x0Aies\x0A	Juv\x0Aenile\x0Aies\x0A
monster:Kesa the Beggar\x0A\x0As\x0A	Kesa the Beggar\x0A\x0As\x0A
monster:Kid\x0A\x0As\x0A	Kid\x0A\x0As\x0A
monster:Killer\x0A\x0As\x0A	Killer\x0A\x0As\x0A
monster:Knifer\x0A\x0As\x0A	Knifer\x0A\x0As\x0A
monster:Kutie\x0A\x0As\x0A	Kutie\x0A\x0As\x0A
monster:Lad\x0Ay\x0Aies\x0A	Lad\x0Ay\x0Aies\x0A
monster:Large Scorparundi\x0A\x0Aes\x0A	Large Scorparundi\x0A\x0Aes\x0A
monster:Laser Hypermortar\x0A\x0As\x0A	Laser Hypermortar\x0A\x0As\x0A
monster:Laser Pod Blaster\x0A\x0As\x0A	Laser Pod Blaster\x0A\x0As\x0A
monster:Laurie\x0A\x0As\x0A	Laurie\x0A\x0As\x0A
monster:Leather Jerk\x0A\x0As\x0A	Leather Jerk\x0A\x0As\x0A
monster:Leather Thug\x0A\x0As\x0A	Leather Thug\x0A\x0As\x0A
monster:Lie Spider	Lie Spider
monster:Life-seeking Flamethrower\x0A\x0As\x0A	Life-seeking Flamethrower\x0A\x0As\x0A
monster:Little Pe\x0Arson\x0Aople\x0A	Little Pe\x0Arson\x0Aople\x0A
monster:Lizard\x0A\x0As\x0A	Lizard\x0A\x0As\x0A
monster:Lost Soul\x0A\x0As\x0A	Lost Soul\x0A\x0As\x0A
monster:Louie\x0A\x0As\x0A	Louie\x0A\x0As\x0A
monster:Lunatic\x0A\x0As\x0A	Lunatic\x0A\x0As\x0A
monster:M\x0Aan\x0Aen\x0A	M\x0Aan\x0Aen\x0A
monster:Mad Dog Fargo	Mad Dog Fargo
monster:Madm\x0Aa\x0Ae\x0An	Madm\x0Aa\x0Ae\x0An
monster:Mailed Wol\x0Af\x0Aves\x0A	Mailed Wol\x0Af\x0Aves\x0A
monster:Marksm\x0Aa\x0Ae\x0An	Marksm\x0Aa\x0Ae\x0An
monster:Master Bruce	Master Bruce
monster:Master Ciro	Master Ciro
monster:Master Cylinder\x0A\x0As\x0A	Master Cylinder\x0A\x0As\x0A
monster:Master Dalis	Master Dalis
monster:Master Griffin	Master Griffin
monster:Master Imaro	Master Imaro
monster:Master Paz	Master Paz
monster:Master Tomas	Master Tomas
monster:Mayor Pedros	Mayor Pedros
monster:Meditator\x0A\x0As\x0A	Meditator\x0A\x0As\x0A
monster:Mercenary\x0A\x0As\x0A	Mercenary\x0A\x0As\x0A
monster:Metal Maniac	Metal Maniac
monster:Mistress Ginger	Mistress Ginger
monster:Mistress Jennifer	Mistress Jennifer
monster:Mistress Kerin	Mistress Kerin
monster:Mistress Krys	Mistress Krys
monster:Mistress Zenobia	Mistress Zenobia
monster:Mk 10 Turbo Meson Cannon\x0A\x0As\x0A	Mk 10 Turbo Meson Cannon\x0A\x0As\x0A
monster:Mongrel\x0A\x0As\x0A	Mongrel\x0A\x0As\x0A
monster:Monk Johan	Monk Johan
monster:Monk Petall	Monk Petall
monster:Monk Russ	Monk Russ
monster:Mulefoot\x0A\x0As\x0A	Mulefoot\x0A\x0As\x0A
monster:Naked Molerat\x0A\x0As\x0A	Naked Molerat\x0A\x0As\x0A
monster:New Waver\x0A\x0As\x0A	New Waver\x0A\x0As\x0A
monster:New and Improved Centron\x0A\x0As\x0A	New and Improved Centron\x0A\x0As\x0A
monster:Night Screamer\x0A\x0As\x0A	Night Screamer\x0A\x0As\x0A
monster:Night Terror	Night Terror
monster:Nuclear Tech\x0Aie\x0Aies\x0A	Nuclear Tech\x0Aie\x0Aies\x0A
monster:Nuke Pooch\x0A\x0Aes\x0A	Nuke Pooch\x0A\x0Aes\x0A
monster:Octotron\x0A\x0As\x0A	Octotron\x0A\x0As\x0A
monster:Opossum\x0A\x0As\x0A	Opossum\x0A\x0As\x0A
monster:Outlander\x0A\x0As\x0A	Outlander\x0A\x0As\x0A
monster:Outlaw\x0A\x0As\x0A	Outlaw\x0A\x0As\x0A
monster:Ozoner\x0A\x0As\x0A	Ozoner\x0A\x0As\x0A
monster:Pack Rat\x0A\x0As\x0A	Pack Rat\x0A\x0As\x0A
monster:Particle Beam Gattlin\x0A\x0As\x0A	Particle Beam Gattlin\x0A\x0As\x0A
monster:Pistolero\x0A\x0As\x0A	Pistolero\x0A\x0As\x0A
monster:Pit Ghoul\x0A\x0As\x0A	Pit Ghoul\x0A\x0As\x0A
monster:Plasma Constrictor\x0A\x0As\x0A	Plasma Constrictor\x0A\x0As\x0A
monster:Police\x0Aman\x0A\x0A	Police\x0Aman\x0A\x0A
monster:Possum\x0A\x0As\x0A	Possum\x0A\x0As\x0A
monster:Prairie Dog\x0A\x0As\x0A	Prairie Dog\x0A\x0As\x0A
monster:Priestess Elexa	Priestess Elexa
monster:Prostitute\x0A\x0As\x0A	Prostitute\x0A\x0As\x0A
monster:Psychopathic Android	Psychopathic Android
monster:Punker\x0A\x0As\x0A	Punker\x0A\x0As\x0A
monster:Rabid Dog\x0A\x0As\x0A	Rabid Dog\x0A\x0As\x0A
monster:Rad Rat\x0A\x0As\x0A	Rad Rat\x0A\x0As\x0A
monster:RadAngel\x0A\x0As\x0A	RadAngel\x0A\x0As\x0A
monster:Radiation Angel\x0A\x0As\x0A	Radiation Angel\x0A\x0As\x0A
monster:Radioactive Vermin	Radioactive Vermin
monster:Rail Raider\x0A\x0As\x0A	Rail Raider\x0A\x0As\x0A
monster:Rail Thie\x0Af\x0Aves\x0A	Rail Thie\x0Af\x0Aves\x0A
monster:Rat\x0A\x0As\x0A	Rat\x0A\x0As\x0A
monster:Reclaimer\x0A\x0As\x0A	Reclaimer\x0A\x0As\x0A
monster:Red Ryder\x0A\x0As\x0A	Red Ryder\x0A\x0As\x0A
monster:Redhawk	Redhawk
monster:Rib Cracker\x0A\x0As\x0A	Rib Cracker\x0A\x0As\x0A
monster:Rich Dand\x0Ay\x0Aies\x0A	Rich Dand\x0Ay\x0Aies\x0A
monster:Rodento Gross\x0Ao\x0Ai\x0A	Rodento Gross\x0Ao\x0Ai\x0A
monster:Rottweiler\x0A\x0As\x0A	Rottweiler\x0A\x0As\x0A
monster:Roving Guard\x0A\x0As\x0A	Roving Guard\x0A\x0As\x0A
monster:Rubble Fanger\x0A\x0As\x0A	Rubble Fanger\x0A\x0As\x0A
monster:Sand Bum\x0A\x0As\x0A	Sand Bum\x0A\x0As\x0A
monster:Scav\x0A\x0As\x0A	Scav\x0A\x0As\x0A
monster:Scavenger\x0A\x0As\x0A	Scavenger\x0A\x0As\x0A
monster:Scorpitron\x0A\x0As\x0A	Scorpitron\x0A\x0As\x0A
monster:Servant of the Mushroom Cloud\x0A\x0As\x0A	Servant of the Mushroom Cloud\x0A\x0As\x0A
monster:Shadow Panther\x0A\x0As\x0A	Shadow Panther\x0A\x0As\x0A
monster:Shadowclaw\x0A\x0As\x0A	Shadowclaw\x0A\x0As\x0A
monster:Shaft Slider\x0A\x0As\x0A	Shaft Slider\x0A\x0As\x0A
monster:Shambler Ghoul\x0A\x0As\x0A	Shambler Ghoul\x0A\x0As\x0A
monster:Shell Cougar\x0A\x0As\x0A	Shell Cougar\x0A\x0As\x0A
monster:Silicon Sniper\x0A\x0As\x0A	Silicon Sniper\x0A\x0As\x0A
monster:Silver Strangler\x0A\x0As\x0A	Silver Strangler\x0A\x0As\x0A
monster:Sister April	Sister April
monster:Sister Faith	Sister Faith
monster:Sister Grace	Sister Grace
monster:Sister Isolde	Sister Isolde
monster:Sister Jade	Sister Jade
monster:Sister June	Sister June
monster:Sister Lucretia	Sister Lucretia
monster:Sister Marie	Sister Marie
monster:Sister May	Sister May
monster:Sister Phaedra	Sister Phaedra
monster:Sister Theodosia	Sister Theodosia
monster:Sister Tracy	Sister Tracy
monster:Sister Ursula	Sister Ursula
monster:Sister Violet	Sister Violet
monster:Sister Wrath	Sister Wrath
monster:Skink\x0A\x0As\x0A	Skink\x0A\x0As\x0A
monster:Slicerdicer\x0A\x0As\x0A	Slicerdicer\x0A\x0As\x0A
monster:Slithering Iguana\x0A\x0As\x0A	Slithering Iguana\x0A\x0As\x0A
monster:Slithering Lizard\x0A\x0As\x0A	Slithering Lizard\x0A\x0As\x0A
monster:Sniper	Sniper
monster:Sniper\x0A\x0As\x0A	Sniper\x0A\x0As\x0A
monster:Sniperdroid\x0A\x0As\x0A	Sniperdroid\x0A\x0As\x0A
monster:Sonar-targetted Proton Carbine\x0A\x0As\x0A	Sonar-targetted Proton Carbine\x0A\x0As\x0A
monster:Spawn Wol\x0Af\x0Aves\x0A	Spawn Wol\x0Af\x0Aves\x0A
monster:Spawnmaster\x0A\x0As\x0A	Spawnmaster\x0A\x0As\x0A
monster:Spiked Mut\x0A\x0As\x0A	Spiked Mut\x0A\x0As\x0A
monster:Spiker\x0A\x0As\x0A	Spiker\x0A\x0As\x0A
monster:Spineback Puma\x0A\x0As\x0A	Spineback Puma\x0A\x0As\x0A
monster:Spineless Ghoul\x0A\x0As\x0A	Spineless Ghoul\x0A\x0As\x0A
monster:Squint\x0A\x0As\x0A	Squint\x0A\x0As\x0A
monster:Stainless Steel Flechette rifle\x0A\x0As\x0A	Stainless Steel Flechette rifle\x0A\x0As\x0A
monster:Steel Reaver\x0A\x0As\x0A	Steel Reaver\x0A\x0As\x0A
monster:Tazel\x0A\x0As\x0A	Tazel\x0A\x0As\x0A
monster:Temple Guardian\x0A\x0As\x0A	Temple Guardian\x0A\x0As\x0A
monster:Threshing Crawler\x0A\x0As\x0A	Threshing Crawler\x0A\x0As\x0A
monster:Thug\x0A\x0As\x0A	Thug\x0A\x0As\x0A
monster:Titanium Clawer\x0A\x0As\x0A	Titanium Clawer\x0A\x0As\x0A
monster:Topekan Child\x0A\x0Aren\x0A	Topekan Child\x0A\x0Aren\x0A
monster:Topekan Elder\x0A\x0As\x0A	Topekan Elder\x0A\x0As\x0A
monster:Topekan M\x0Aan\x0Aen\x0A	Topekan M\x0Aan\x0Aen\x0A
monster:Topekan Wom\x0Aan\x0Aen\x0A	Topekan Wom\x0Aan\x0Aen\x0A
monster:Town\x0Ay\x0Aies\x0A	Town\x0Ay\x0Aies\x0A
monster:Trash Slitherer\x0A\x0As\x0A	Trash Slitherer\x0A\x0As\x0A
monster:Tronnosaur\x0Aus\x0As\x0A	Tronnosaur\x0Aus\x0As\x0A
monster:Tronodile\x0A\x0As\x0A	Tronodile\x0A\x0As\x0A
monster:Tronosaur\x0Aus\x0As\x0A	Tronosaur\x0Aus\x0As\x0A
monster:Tunnel Lizard\x0A\x0As\x0A	Tunnel Lizard\x0A\x0As\x0A
monster:Turbo Cybertrike\x0A\x0As\x0A	Turbo Cybertrike\x0A\x0As\x0A
monster:Turbo Meson Cannon\x0A\x0As\x0A	Turbo Meson Cannon\x0A\x0As\x0A
monster:Ugly John	Ugly John
monster:Undergrounder\x0A\x0As\x0A	Undergrounder\x0A\x0As\x0A
monster:VTOL Auto-fire Robot\x0A\x0As\x0A	VTOL Auto-fire Robot\x0A\x0As\x0A
monster:Vanadium Vulture\x0A\x0As\x0A	Vanadium Vulture\x0A\x0As\x0A
monster:Vandal\x0A\x0As\x0A	Vandal\x0A\x0As\x0A
monster:Vax\x0A\x0Aes\x0A	Vax\x0A\x0Aes\x0A
monster:Wacko Prisoner	Wacko Prisoner
monster:Warbot\x0A\x0As\x0A	Warbot\x0A\x0As\x0A
monster:Warden Jethro	Warden Jethro
monster:Warden Nicholas	Warden Nicholas
monster:Warroid Mark 1\x0A\x0As\x0A	Warroid Mark 1\x0A\x0As\x0A
monster:Warroid Mark 2\x0A\x0As\x0A	Warroid Mark 2\x0A\x0As\x0A
monster:Warroid Mark 3\x0A\x0As\x0A	Warroid Mark 3\x0A\x0As\x0A
monster:Waste Worm\x0A\x0As\x0A	Waste Worm\x0A\x0As\x0A
monster:Wasteland Warrior\x0A\x0As\x0A	Wasteland Warrior\x0A\x0As\x0A
monster:Weez	Weez
monster:Widowmaker	Widowmaker
monster:Wild Canine\x0A\x0As\x0A	Wild Canine\x0A\x0As\x0A
monster:Wire-guided Anti-personel Missile\x0A\x0As\x0A	Wire-guided Anti-personel Missile\x0A\x0As\x0A
monster:Wom\x0Aan\x0Aen\x0A	Wom\x0Aan\x0Aen\x0A
monster:Woman	Woman
monster:Woman\x0A\x0As\x0A	Woman\x0A\x0As\x0A
monster:Worshipper\x0A\x0As\x0A	Worshipper\x0A\x0As\x0A
monster:Xenon Laser Cannon\x0A\x0As\x0A	Xenon Laser Cannon\x0A\x0As\x0A
monster:Xray Laser Projector\x0A\x0As\x0A	Xray Laser Projector\x0A\x0As\x0A
monster:Young M\x0Aan\x0Aen\x0A	Young M\x0Aan\x0Aen\x0A
monster:Young Wom\x0Aan\x0Aen\x0A	Young Wom\x0Aan\x0Aen\x0A
