# game2 資源 38：蘑菇雲僕從神殿（Temple of the Servants of the Mushroom Cloud）
#
# ⚠ 密語與玩家要輸入的答案不翻：Y／N／EINSTEIN／OPPENHEIMER／BLOODSTAFF／
# FAT FREDDY／FARAN BRYGO。
#
# 這個教派把核物理學家當神拜（愛因斯坦、歐本海默、普朗克），
# 敘述裡的人名照翻，但當成「聖名」要輸入的那兩條保留原文。
blk:game2:38:1	\x0D這裡是蘑菇雲僕從神殿。褪色的海報貼滿牆面。\x0D
blk:game2:38:25	「偉大的普朗克啊，您恆常不變。請助我冥想。」\x0D
blk:game2:38:26	這個女人散發著紫白色的光輝。\x0D
blk:game2:38:27	一個穿著長袍的光頭少年看著你。\x0D
blk:game2:38:28	幾個醜陋得幾乎不像人的神殿守衛正對著你。\x0D
blk:game2:38:29	\x0D門碎成小塊散了一地。\x0D
blk:game2:38:30	\x0D一扇被砸壞的門靠著僅存的一個鉸鏈掛著。\x0D
blk:game2:38:31	\x0D一扇開著的門。\x0D
blk:game2:38:32	\x0D「呢呢呢。」\x0D
blk:game2:38:33	\x0D你聽見遠處傳來：「炸到他們發光，再往黑暗裡開槍。」\x0D
blk:game2:38:34	「說出聖者之名。」\x0D
blk:game2:38:35	EINSTEIN
blk:game2:38:36	OPPENHEIMER
blk:game2:38:37	「你們在尋求大輝光嗎？」\x0D\x0D\x11\x10是\x0D\x10否\x0D
blk:game2:38:38	Y
blk:game2:38:39	N
blk:game2:38:40	「你們帶供品來了嗎？」\x0D\x0D\x11\x10是\x0D\x10否\x0D
blk:game2:38:41	「你們的供品是什麼？」\x0D
blk:game2:38:42	BLOODSTAFF
blk:game2:38:43	\x0D輻射天使只剩下一堆發光的塵埃。\x0D
blk:game2:38:44	\x0D龐大的電子設備在你四周嗡嗡作響、喀喀跳動。\x0D
blk:game2:38:45	\x0D混凝土牆散發著微弱的藍光。\x0D
blk:game2:38:46	\x0D反應爐核心的牆摸起來燙手。\x0D
blk:game2:38:47	\x0D這是一張頭髮蓬亂的老人畫像。旁邊的銘牌寫著：「愛因斯坦給了我們理論。」\x0D
blk:game2:38:48	\x0D這張畫像上是一位氣宇不凡的中年男子。底下的銘牌寫著：「歐本海默，原子彈之父。」\x0D
blk:game2:38:49	\x0D牆上這幅畫的男人穿著非常奇特的衣服。畫上寫著：「普朗克恆常不變。h=6.626 X 10-34 J sec。」\x0D
blk:game2:38:50	\x0D「上前來，讓我看看你們。」\x0D
blk:game2:38:51	\x0D你四周牆上的射孔一齊打開，你被四面八方夾擊。\x0D
blk:game2:38:52	\x0D「歡迎來到我們的神殿。入內學習吧。」\x0D
blk:game2:38:53	\x0D發電機組。\x0D
blk:game2:38:54	\x0D冷卻控制。\x0D
blk:game2:38:55	\x0D冷卻劑處理。\x0D
blk:game2:38:56	\x0D戰術核彈製造。\x0D
blk:game2:38:57	\x0D控制室。\x0D
blk:game2:38:58	\x07歡迎來到核子急救站。\x0D
blk:game2:38:59	\x07歡迎來到聖知識中心。\x0D
blk:game2:38:60	\x0D這個角落有一具裝甲攝影機盯著你。\x0D
blk:game2:38:61	\x0D這條滿是灰塵的走廊很久沒人用了。\x0D
blk:game2:38:62	\x0D「往你左邊移動，讓我看得到你。」\x0D
blk:game2:38:63	\x0D「拜託別傷害我。我不想加入。我警告你，再靠近就把你核平。」\x0D
blk:game2:38:64	「拜託別煩我。」\x0D
blk:game2:38:65	\x0D急救。\x0D
blk:game2:38:66	\x0D技術訓練。\x0D
blk:game2:38:67	\x0D一具燒壞的攝影機沒在看你。\x0D
blk:game2:38:68	一個窩囊的核能技師在控制台前工作。\x0D
blk:game2:38:69	\x0D這些武器積滿灰塵、久未使用，都快散了。\x0D
blk:game2:38:70	\x0D那對攝影機沒有作用。\x0D
blk:game2:38:71	\x0D「好，我加入你們。我叫麥可·史考特醫生，專長是把人修好。」\x0D
blk:game2:38:72	\x0D滾燙的管線藏在濃密的蒸汽裡，冰冷的管線則結滿了冰。\x0D
blk:game2:38:73	\x0D別站到桌上！你在家也不會坐在桌子上吧！？\x0D
blk:game2:38:74	\x0D你在這裡只找到灰塵。\x0D
blk:game2:38:75	\x0D門一碰就輕鬆推開了。\x0D
blk:game2:38:76	\x0D管線的刺骨寒意讓你踉蹌退開。\x0D
blk:game2:38:77	\x0D一波波熱浪讓你倒在地上。\x0D
blk:game2:38:78	\x0D這片佈滿轉盤和儀表的電子面板看起來是冷卻幫浦的控制台。\x0D
blk:game2:38:79	\x0D幫浦慢慢停了下來，所有的轉盤和儀表都掉到零。\x0D
blk:game2:38:80	\x0D你對機器懂得不夠多，不該亂碰這套設備。\x0D
blk:game2:38:81	\x0D面板上的轉盤和儀表全都在零。\x0D
blk:game2:38:82	\x0D幫浦轟隆隆地加到全速，儀表和轉盤也活了過來。\x0D
blk:game2:38:83	\x0D這道門是被刻意焊死的。\x0D
blk:game2:38:84	\x0D糟了！你在門上炸出一個洞，放射性污泥正朝你流過來。\x0D
blk:game2:38:85	\x0D呼！你差一點就把門打開了。\x0D
blk:game2:38:86	一位醫生站起來迎接你們。\x0D
blk:game2:38:87	\x0D這些管線上的冰已經融成一灘灘的水。\x0D
blk:game2:38:88	\x0D蒸汽在這些管線上凝結，流到了地板上。\x0D
blk:game2:38:89	\x0D地板上的水讓這片面板短路了。\x0D
blk:game2:38:90	\x0D這是一張海報，上面的男人穿著 T 恤和短褲在電腦前打字。底下的銘牌寫著「偉大的製圖者 STANCE」。\x0D
blk:game2:38:91	\x0D一顆亮得刺眼的手榴彈飛過你頭頂，在你身後炸開。\x0D
blk:game2:38:92	\x0D幫浦停機時，你聽見不祥的聲響。\x0D
blk:game2:38:93	\x0D警報！警報！冷卻系統故障，立即撤離。\x0D
blk:game2:38:94	\x0D液體流過管線的聲音對你來說有如天籟。\x0D
blk:game2:38:95	\x0D警告！反應爐熔毀，必須摧毀所有通道以防輻射擴散。\x0D
blk:game2:38:96	\x0D你身後的走廊塌陷，巨大的爆炸把你震倒在地。\x0D
blk:game2:38:97	一群衣衫襤褸的宗教狂熱份子正對著你。\x0D
blk:game2:38:98	那位高挑美麗的女祭司從長袍裡抽出一把雷射手槍。\x0D
blk:game2:38:99	\x0D再靠近一點你就聽得清他們在說什麼。\x0D
blk:game2:38:100	\x0D「站住！不准再靠近！」夏曼喝道。儘管她全身泛著紫光，她大概是你見過最美的女人。\x0D
blk:game2:38:101	\x0D「絕不准那樣怠慢我。」\x0D
blk:game2:38:102	\x0D「到冥想室去學習吧。」\x0D
blk:game2:38:103	\x0D請看第 129 段。\x0D
blk:game2:38:104	\x0D「謝謝你們的血杖。」請看第 76 段。\x0D
blk:game2:38:105	\x0D「我現在誰都不想見。」\x0D
blk:game2:38:106	\x0D「我看得出來你們沒有血杖。」\x0D
blk:game2:38:107	「你們把血杖帶來了嗎？」\x0D
blk:game2:38:108	\x0D你引爆了一顆核子手榴彈，被輻射照到了。\x0D
blk:game2:38:109	\x0D「現在退下吧。」\x0D
blk:game2:38:110	\x0D「冒牌貨！那不是真正的血杖。」\x0D
blk:game2:38:111	\x0D「讓我看看血杖。」\x0D
blk:game2:38:112	\x0D別坐到寶座上！\x0D
blk:game2:38:113	\x0D「誰派你們來的？」\x0D
blk:game2:38:114	FAT FREDDY
blk:game2:38:115	FARAN BRYGO
blk:game2:38:116	\x0D「所以，你們是那個人渣的手下。上！」\x0D
blk:game2:38:117	\x0D「那不是血杖。你以為我有多蠢？」\x0D
blk:game2:38:118	\x0D這道巨大的鋼門上有個奇怪的鑰匙孔。\x0D
