# game2 資源 11：拉斯維加斯的廢棄街區（塗鴉、垃圾與各種會咬人的小東西）
#
# ⚠ 牆上的塗鴉保留原文（`THE WHITE BOY IS #1`／`KILROY WAS HERE`）——
# 那是漆在牆上的字，不是敘述。`Kilroy was here` 是二戰美軍留下的著名塗鴉，
# 這裡署名的 Tin Man 與 `game2:41` 酒窖那道塗鴉是同一個人。
#
# 54 的「遊俠先生」是《瑜珈熊》的口頭禪（Mr. Ranger, sir!）的挪用，語氣要留。
blk:game2:11:1	\x0D這些老磚牆正慢慢碎裂剝落。\x0D
blk:game2:11:44	\x0D鼠爺爺咬了你之後就死了。殺人家老鼠的爺爺不太厚道。\x0D
blk:game2:11:45	\x0D看看這些可愛的沙漠毛球。可惜牠們怕你，一直逃走。\x0D
blk:game2:11:46	\x0D沙漠毛球再可愛，惹毛了也是會咬人的。\x0D
blk:game2:11:47	\x0D這些沙漠毛球在房間裡到處彈跳，看起來像有風在吹。\x0D
blk:game2:11:48	\x0D哎喲！沙漠毛球彈到你身上會痛。\x0D
blk:game2:11:49	\x0D蟑螂，大的小的都有。這個房間裡到處都是。\x0D
blk:game2:11:50	\x0D戰爭之後蟑螂變得非常兇！現在牠們咬起來很用力。\x0D
blk:game2:11:51	\x0D成千上萬隻蟑螂，有的只有指甲大，有的將近一呎長。這裡是牠們的地盤。\x0D
blk:game2:11:52	\x0D你們走得太深，進了巨型蟑螂的領地。現在你們得用痛來付帳。\x0D
blk:game2:11:53	\x0D啊！又是新鮮空氣與開闊的天地。\x0D
blk:game2:11:54	\x0D螞蟻！遊俠先生，多到數不清。到處都是。\x0D
blk:game2:11:55	\x0D幸好螞蟻沒有毒，不然你痛的就不只是被咬那幾口了。\x0D
blk:game2:11:56	\x0D哇，那隻蜈蚣真大，超過一呎長，跑得像賽馬一樣快。\x0D
blk:game2:11:57	\x0D不妙！那隻蜈蚣從你的鞋上跑過去時，在你腳上留了一點毒。\x0D
