# game1 資源 3：驛馬車旅館（Stagecoach Inn）與後巷
#
# ⚠ 全大寫的詞（INFO／ROOM／CHAT／MONEY／GANG／SECRET／MAYOR／COURTHOUSE／
# BACK WAY／SNAKE SQUEEZINS／NO）與密語（URAQT2／URABUTLN）**不翻**——
# 那些是玩家要輸入或選取的詞，密語的比對程式碼還沒逆向（`docs/re/33` §4）。
# 門與戰鬥動詞走 `_shared.tsv`，這裡只放這張地圖自己的敘述。
blk:game1:3:3	\x0D門沒有打開。\x0D
blk:game1:3:81	\x0D你看到幾個流浪漢睡在巷子裡。\x0D
blk:game1:3:82	\x0D一堆廢物靠在圍籬上。撥了一下，嚇出幾隻老鼠。\x0D
blk:game1:3:83	\x0D一張碎裂的桌子後面有一道地板暗門。\x0D
blk:game1:3:84	\x0D你運氣好得離譜。你沒拆掉它，但它也沒有爆。\x0D
blk:game1:3:85	\x0D你很幸運……\x0D
blk:game1:3:86	\x0D你剪對了線，把詭雷拆掉了。\x0D
blk:game1:3:87	\x0D這裡一直有流浪漢住著，簡直像個豬圈。\x0D
blk:game1:3:88	一個眼神瘋狂的流浪漢朝你踉蹌撲來，狂叫不止。\x0D
blk:game1:3:89	流浪漢和一群癩皮雜種狗擠在一起住。聞到生人味，狗群警戒地繞了幾圈，然後撲上來。\x0D
blk:game1:3:90	椅子旁的一堆東西裡，流浪漢和野狗一起撲向你的喉嚨。\x0D
blk:game1:3:91	「你想幹嘛？」他呆呆張著嘴，「別傷我，我是好人，你講我就講……」\x0D
blk:game1:3:92	CHAT
blk:game1:3:93	MONEY
blk:game1:3:94	SNAKE SQUEEZINS
blk:game1:3:95	GANG
blk:game1:3:96	SECRET
blk:game1:3:97	MAYOR
blk:game1:3:98	COURTHOUSE
blk:game1:3:99	BACK WAY
blk:game1:3:100	\x0D他的眼神渙散：「啊？你說什麼？」他搖著頭問。\x0D
blk:game1:3:101	\x0D一個年輕的流浪漢蜷在一個空罐子旁邊，被你嚇了一跳。\x0D
blk:game1:3:102	\x0D「我沒錢，也沒有蛇酒，」他哀求著，「但我有個祕密。幫派不知道的。」\x0D
blk:game1:3:103	\x0D真的，我什麼都沒有。不過老佛列德好像在椅子裡藏了東西。\x0D
blk:game1:3:104	\x0D「他們把佩德羅斯鎮長關在法院。我找到一條他們不知道的後路。」\x0D
blk:game1:3:105	\x0D「通往法院的祕道，是從巷子底的清潔部進去。」\x0D
blk:game1:3:106	\x0D你搖了搖那個流浪漢。他兩眼一翻，昏了過去。\x0D
blk:game1:3:107	\x0D你往底下一看，找到了……\x0D
blk:game1:3:108	\x0D他兩眼發狂：「把你的蛇酒給我？」他要求道。\x0D
blk:game1:3:109	\x0D他一把抓過那瓶酒，全部喝光。\x0D
blk:game1:3:110	\x0D這是幾號房：
blk:game1:3:111	\x0D房間裡掛滿迷彩布。你聽得見有人，卻看不到任何人！\x0D
blk:game1:3:112	\x0D一個男人在桌前工作：「我在寫最後一部偉大的美國小說。」\x0D
blk:game1:3:113	「為了給他這個機會，我們會殺人！」\x0D
blk:game1:3:114	\x0D幾個人在旁邊看著。「那位作家，」他們說，「是個偉人。別打擾他。」\x0D
blk:game1:3:115	\x0D「別打擾他！他的小說會為我們這個時代帶來和平！」\x0D
blk:game1:3:116	\x0D這裡有一道鐵絲網圍籬。\x0D
blk:game1:3:117	\x0D砰！你撞上一堵磚牆。\x0D
blk:game1:3:118	\x0D你嚇到一個坐輪椅的女人。「嗨，我叫蘿莉，」她說，「我媽艾倫說你們會來。」\x0D
blk:game1:3:119	小心！他們要把你剁成冷盤了。\x0D
blk:game1:3:120	一個槍手瞇著眼看你：「我叫瞇眼，你死定了。」\x0D
blk:game1:3:121	\x0D別靠近櫃檯。\x0D
blk:game1:3:122	\x0D你跨過碎裂的欄杆。\x0D
blk:game1:3:123	\x0D「這後面不准進來！我的狗會咬你，」櫃檯員邊喊邊跑走。\x0D
blk:game1:3:124	櫃檯員拔出手槍。\x0D
blk:game1:3:125	鬥牛犬張著大嘴撲了過來。\x0D
blk:game1:3:126	\x0D地板被炸開了。\x0D
blk:game1:3:127	\x0D你搞砸了——字面上的。\x0D
blk:game1:3:128	騾腳朝你衝來：「我替阿醜做事。我用不著忍這個！」他咆哮著。\x0D
blk:game1:3:129	那群打手拔槍：「我們不喜歡有人在我們桌邊晃。滾開！」\x0D
blk:game1:3:130	\x0D這是一張鋼製櫃檯。保溫燈擋住了你望向廚房的視線。\x0D
blk:game1:3:131	\x0D你搶了一個老人！「那是我最好的一把菜刀，」他哀號。\x0D
blk:game1:3:132	\x0D他抽了抽鼻子收下了。也許你沒那麼壞。\x0D
blk:game1:3:133	\x0D他朝你丟了一顆柳橙。\x0D
blk:game1:3:134	\x0D再見。小心那些油。\x0D
blk:game1:3:135	\x0D地板被油弄得很滑。\x0D
blk:game1:3:136	\x0D你滑了一跤，頭撞在櫃檯邊緣。\x0D
blk:game1:3:137	\x0D蘿莉說：「你得證明你值得我們幫。拿一個伺服馬達來裝我的椅子，我就幫你。」\x0D
blk:game1:3:138	\x0D蘿莉拿到伺服馬達來驅動輪椅，開心極了。謝謝你！\x0D
blk:game1:3:139	\x0D「不行，」她說，「其他東西都沒用。」\x0D
blk:game1:3:140	\x0D一個聲音說：「你敢踏進來，就會被炸上西天。」\x0D
blk:game1:3:141	\x0D房裡扔出一顆手榴彈，落在你腳邊。\x0D
blk:game1:3:142	「我看你比你看我清楚多了，」那女人咆哮，兩把點四五同時開火！\x0D
blk:game1:3:143	\x0D「你有兩次機會說服我不要開槍，」躲著的女人說。\x0D
blk:game1:3:144	\x0D「不夠好，」她低吼。\x0D
blk:game1:3:145	\x0D「夠了！」她大喊，「你們跟那些打手沒兩樣！」\x0D
blk:game1:3:146	\x0D這裡沒有什麼不尋常的。\x0D
blk:game1:3:147	\x0D架上有幾瓶肥皂水。\x0D
blk:game1:3:148	\x0D這些架子上放著幾罐化學藥劑。\x0D
blk:game1:3:149	\x0D這是家高級旅館，有一包包要套在馬桶座上的紙條。\x0D
blk:game1:3:150	\x0D你發現一個上鎖的木櫃。\x0D
blk:game1:3:151	\x0D就在你打開門的那一刻，你聽到身後有聲音。\x0D
blk:game1:3:152	兩個清潔工大喊「你在這裡沒事幹！」，準備把你痛打一頓！\x0D
blk:game1:3:153	\x0D炸藥就塞在這個裡面……\x0D
blk:game1:3:154	這是殲滅者的房間！滾出去，不然就死！\x0D
blk:game1:3:155	\x0D「太感謝了。」\x0D
