# game1 資源 6：石英城法院（Quartz Courthouse）
#
# ⚠ 密語與關鍵字不翻：MUERTE／UGLY／SQUINT／MULEFOOT。
blk:game1:6:1	歹徒和看門狗從一處隱密的藏身點冒出來。「誰派你們來的？」\x0D
blk:game1:6:92	\x0D你拉開抽屜，看見……\x0D
blk:game1:6:93	\x0D這個抽屜是空的。\x0D
blk:game1:6:94	你打斷了一場很認真的撲克牌局。\x0D
blk:game1:6:95	\x0D「來吧，我們走。」\x0D
blk:game1:6:97	「嗨，我叫丹尼·西特林。」\x0D
blk:game1:6:98	「嗨，我是佩德羅斯鎮長。請救我出去。」\x0D
blk:game1:6:99	\x0D牢房鎖著。\x0D
blk:game1:6:100	\x0D這裡牆上的塗鴉寫著「Darwin = Proteus」。\x0D
blk:game1:6:102	\x0D牢房還是鎖著。\x0D
blk:game1:6:103	小心！這傢伙是瘋子。\x0D
blk:game1:6:104	\x0D一個男人從床上跳了起來。\x0D
blk:game1:6:105	\x0D他看見丹尼就說：「謝謝你救我，孩子。錢在這裡。我得走了。」\x0D
blk:game1:6:106	\x0D你還來不及反應，他就跑出牢房了。\x0D
blk:game1:6:107	\x0D你打開牢房，觸發了警報。糟糕！\x0D
blk:game1:6:108	槍手們去拔手槍。看樣子他們很會用！\x0D
blk:game1:6:109	骯髒的看門狗撲了上來，拿刀的主人緊跟在後。\x0D
blk:game1:6:110	那群歹徒抓起手槍。\x0D
blk:game1:6:111	你聽見步槍上膛的聲音。那個槍手正等著把你轟掉。\x0D
blk:game1:6:112	\x0D那群歹徒一臉困惑，不確定地互看。\x0D
blk:game1:6:113	\x0D「唷，他還挺神氣的！」其中一個說，「進去吧，最好是要緊的事！」\x0D
blk:game1:6:114	\x0D一個矮小骯髒的男人低吼：「我不知道你在搞什麼，但那沒用。」\x0D
blk:game1:6:115	\x0D這是一面普通的牆，雖然髒污斑駁，倒是相當結實。\x0D
blk:game1:6:116	\x0D別站到長椅上。\x0D
blk:game1:6:117	那陣聲響把幫派份子引了出來。又多了幾個打手朝你開槍。\x0D
blk:game1:6:118	流著口水、飢餓、鐵顎般的狗群朝你衝來。在牠們眼裡你就是一袋狗飼料！\x0D
blk:game1:6:119	\x0D這是一面岩壁。這裡爬不上去。\x0D
blk:game1:6:120	\x0D守衛讓你們通過。\x0D
blk:game1:6:121	\x0D幸好沒有人聽見。\x0D
blk:game1:6:122	中庭傳來憤怒的吼聲：「你在那裡幹什麼？」\x0D
blk:game1:6:123	\x0D「喂！你在這裡幹什麼？」\x0D
blk:game1:6:124	\x0D你順利爬了上去。\x0D
blk:game1:6:125	\x0D你滑了一跤摔下去，弄傷了自己。\x0D
blk:game1:6:126	\x0D你看到走廊上有兩個打手盯著你。\x0D
blk:game1:6:127	\x0D他們對你起了疑心。\x0D
blk:game1:6:128	\x0D「過來，豬臉。有麻煩了！」\x0D
blk:game1:6:129	\x0D你的新夥伴說：「我打賭我們可以打破玻璃，順著植物爬下去。」\x0D
blk:game1:6:130	\x0D一個胖子鎖上門，好奇地看著你。\x0D
blk:game1:6:131	\x0D他聳聳肩，把門打開。\x0D
blk:game1:6:132	\x0D「你在這裡幹什麼？」\x0D
