# game1 資源 27：針岩城的血之神殿（祭壇、犧牲室、聖遊戲格、地下飛彈井）
#
# ⚠ 玩家要輸入的答案不翻：30／THIRTY／MOTEKIM／MORTAR／ATOM／Y。
# 「唯一的真道有幾步」答 30，數字題照原樣。
#
# 67 的塗鴉是 "Kilroy was here" 的變體（KILL ROY ＝ 殺了羅伊），
# 靠英文拼字才成立，名字保留原文。USAF 是燒在結構上的字樣，也保留。
blk:game1:27:1	\x0D你站在血之神殿的門廊！\x0D
blk:game1:27:40	THIRTY
blk:game1:27:41	「謝謝你們救我。」\x0D
blk:game1:27:42	\x0D「你們救了我的命，現在換我幫你們。」\x0D
blk:game1:27:43	\x0D這裡有個穿著破布的男人。他被一道不斷下降的雷射光束困住。\x0D
blk:game1:27:44	\x0D你被一道強力的雷射光束擊中。\x0D
blk:game1:27:45	\x0D你踩上了通電的地板。我叫你別進來的。\x0D
blk:game1:27:46	\x0D「錯！再試一次。」\x0D
blk:game1:27:47	\x0D你被一道巨大的電流烤焦了！\x0D
blk:game1:27:48	\x0D離開神殿的車庫。\x0D
blk:game1:27:49	\x0D一輛老舊生鏽的巴士，輪胎爛了，漆也剝落。\x0D
blk:game1:27:50	\x0D請看第 66 段。\x0D
blk:game1:27:51	\x0D你站在一池冒泡液體的邊上。\x0D
blk:game1:27:52	\x0D這座結構的側面燒著「USAF」幾個字。\x0D
blk:game1:27:53	\x0D北邊好像有某種電場。\x0D
blk:game1:27:54	泡酸浴對你通常沒什麼好處。\x0D
blk:game1:27:55	\x0D「拜託幫幫我！我試著解出發射碼已經好幾個月了。你們要是知道，拜託告訴我。」\x0D
blk:game1:27:56	MOTEKIM
blk:game1:27:57	\x0D那道電場流過你，把你放了下去……\x0D
blk:game1:27:58	\x0D你走下階梯，來到……\x0D
blk:game1:27:59	\x0D那個男人大喊：「終於自由了！」然後跑了出去。\x0D
blk:game1:27:60	\x0D這些牆是某種高級金屬做的。\x0D
blk:game1:27:61	\x0D不對，不是這個。\x0D
blk:game1:27:62	\x0D一塊牌子寫著：「不得進入，電刑室。」\x0D
blk:game1:27:63	\x0D滋——！還挺舒服的吧？\x0D
blk:game1:27:64	\x0D砰！你被打回起點。\x0D
blk:game1:27:65	\x0D這裡一次只能坐一個人。\x0D
blk:game1:27:66	\x0D這道階梯快垮了。小心點。\x0D
blk:game1:27:67	\x0D座位上的塗鴉寫著「KILL ROY 到此一遊」。\x0D
blk:game1:27:68	\x0D噁！這個座位上滿是變種人的黏渣。\x0D
blk:game1:27:69	\x0D你沒有駕照。抱歉。\x0D
blk:game1:27:70	\x0D你看到一行淺淺刻上去的字：「請看第 124 段。」\x0D
blk:game1:27:71	\x0D中庭的牆看起來像流動的血河，其實是一面玻璃牆把血擋在後面。\x0D
blk:game1:27:72	MORTAR
blk:game1:27:73	ATOM
blk:game1:27:74	\x0D你不小心輸入了自毀碼。\x0D
