# game1 資源 10：高池鎮（Highpool）與峽谷洞穴
#
# ⚠ 關鍵字不翻：Y／N／BOBBY'S DOG／REX／DOG／JACKIE／CAVE／BUSH／BUSHES。
#
# 紅騎士（Red Ryder）是 1930 年代美國西部漫畫的主角，同名的
# 「Red Ryder Range Model 空氣槍」是當年小孩的經典玩具。這一段是致敬《聖誕故事》，
# 譯名保留「紅騎士」並在槍名裡留原文型號，讓看得懂的人認得出來。
blk:game1:10:1	\x0D石灰岩峭壁聳立在頭頂上。\x0D
blk:game1:10:63	一個你認得的少年站了起來。「你們殺了我的狗，你們這些骯髒的遊俠！」\x0D
blk:game1:10:64	\x0D岩石和大圓石讓人難以通過。\x0D
blk:game1:10:65	\x0D你扭著身子擠了過去。\x0D
blk:game1:10:66	你摔了下來滑回原處，膝蓋擦破了皮。\x0D
blk:game1:10:67	\x0D這裡的岩石和圓石讓人非常難通過。\x0D
blk:game1:10:68	\x0D這裡的頂部曾經塌過。你幾乎動彈不得。你注意到一根斷掉的人骨。\x0D
blk:game1:10:69	\x0D真走運！死在這裡的老兄很倒楣，但你撿到他的東西算是走運。\x0D
blk:game1:10:70	\x0D這是一面牆。\x0D
blk:game1:10:71	\x0D石頭又滑又長滿青苔。不要在這裡游泳。\x0D
blk:game1:10:72	\x0D住在這裡的年輕人本來該把門鎖好，但他們老是忘記。\x0D
blk:game1:10:73	\x0D這是小孩子的宿舍，沒有什麼遊俠會感興趣的東西。\x0D
blk:game1:10:74	\x0D這是青少年的宿舍。沒什麼有意思的東西。\x0D
blk:game1:10:75	\x0D你檢查了書桌後面那個小架子。\x0D
blk:game1:10:76	\x0D你附近的田地靠一條從溪裡引水的渠道灌溉。\x0D
blk:game1:10:77	\x0D你南邊是幾棟兩層樓的土磚建築，看起來像宿舍。\x0D
blk:game1:10:78	\x0D門擋住了你的動作。\x0D
blk:game1:10:79	\x0D牆上釘著一張字條：\x0D-- 洞穴\x0D-- 大人：突襲歹徒\x0D-- 潔琪\x0D-- 巴比的狗？\x0D-- 修淨水器\x0D
blk:game1:10:80	\x0D門廳很涼爽。旁邊有個商店櫃檯，再過去的房間看起來像遊戲廳。\x0D
blk:game1:10:81	\x0D門上漆著一個名字：「巨無霸先生」。門鎖著。\x0D
blk:game1:10:83	\x0D一個打撲克的人說：「他出去了，不過你可以用門邊那把鑰匙。」\x0D
blk:game1:10:84	\x0D「喂，你對那扇門在幹什麼！」那群少年憤怒地大喊。\x0D
blk:game1:10:85	你這種不像客人的舉動把那群年輕人激怒了。\x0D
blk:game1:10:86	\x0D你看到西邊有張床，東邊有張堆滿東西的書桌。\x0D
blk:game1:10:87	\x0D牆上掛著褪色的小孩照片，T 恤上印著「高池營」。\x0D
blk:game1:10:88	\x0D曾經有水的河床如今乾涸，只有一隻甲蟲偶爾跑過。\x0D
blk:game1:10:89	\x0D熱風吹過空蕩的沙漠。\x0D
blk:game1:10:90	\x0D一棟破敗的建築。陽光從屋樑之間灑下來。\x0D
blk:game1:10:91	\x0D這間臥室像個垃圾坑。\x0D
blk:game1:10:92	\x0D你的好奇心有了回報！\x0D
blk:game1:10:93	\x0D五斗櫃最下層的抽屜裡有一件首飾和一些現金。\x0D
blk:game1:10:94	\x0D床底下一塊鬆脫的木板底下，你找到一批不小的藏貨！\x0D
blk:game1:10:95	\x0D這是一張堆滿東西的書桌。\x0D
blk:game1:10:96	\x0D你沒看到什麼特別的。\x0D
blk:game1:10:97	\x0D這裡看起來像工作坊。旁邊有老舊的機器，後面還有一張行軍床。\x0D
blk:game1:10:98	\x0D舊機器零件散在地上，四周堆著工具。\x0D
blk:game1:10:99	\x0D這台大傢伙是東拼西湊的機器。你認得出其中一個幫浦，結著水垢的管線通往地板下。\x0D
blk:game1:10:100	\x0D你推斷這是一台淨水裝置。看起來壞了。\x0D
blk:game1:10:101	\x0D幫浦旁邊那個張著的大洞讓你覺得，換一顆新引擎也許就修得好。\x0D
blk:game1:10:102	\x0D引擎滑進定位，你把裝置發動起來了！\x0D
blk:game1:10:103	\x0D引擎發動的聲音把一群年輕人引到門口。\x0D
blk:game1:10:104	\x0D「太感謝你們修好淨水器了！」他們大聲歡呼，把你們每個人都誇了一遍。\x0D
blk:game1:10:105	\x0D歡呼聲靜了下來。「我們本來想多給一些，但你們好像已經自己拿了不少。這點謝禮請收下。」\x0D
blk:game1:10:106	\x0D「我們想修好它很久了！請收下我們最深的謝意！」\x0D
blk:game1:10:107	\x0D這台東拼西湊的淨水器裝上新引擎，正歡快地運轉著。\x0D
blk:game1:10:108	\x0D一片乾涸的湖床沒入石灰岩層。\x0D
blk:game1:10:109	\x0D你看到書桌上有幾張手寫的字條。\x0D
blk:game1:10:110	\x0D一張是與鐵路遊民的帳目，另一張是對沙漠劫掠者的偷襲計畫。\x0D
blk:game1:10:111	\x0D最後那張很奇怪，因為它明顯假設只有兩個人要打一大群。\x0D
blk:game1:10:112	\x0D一張是提醒要在溪對岸的洞口加個活板門，另一張講的是狂犬病。\x0D
blk:game1:10:113	\x07歡迎光臨本店。\x0D
blk:game1:10:114	\x07歡迎來到醫護所。\x0D
blk:game1:10:115	你的繩子綁在樹上了。要滑進洞穴嗎？\x0D\x0D\x11\x10Y 是\x0D\x10N 否\x0D
