monster:7mm Vulcan Cannon\x0A\x0As\x0A	7 公釐火神砲\x0A\x0A\x0A
monster:Gecko\x0A\x0As\x0A	壁虎\x0A\x0A\x0A
monster:Gila Monitor\x0A\x0As\x0A	吉拉巨蜥\x0A\x0A\x0A
monster:Glowing Slime\x0A\x0As\x0A	發光黏液\x0A\x0A\x0A
monster:Glowviper\x0A\x0As\x0A	螢光蝮\x0A\x0A\x0A
monster:Guard\x0A\x0As\x0A	守衛\x0A\x0A\x0A
monster:Guard Leader\x0A\x0As\x0A	守衛隊長\x0A\x0A\x0A
monster:Gundroid\x0A\x0As\x0A	槍械機器人\x0A\x0A\x0A
monster:Gunm\x0Aa\x0Ae\x0An	槍手\x0A\x0A\x0A
monster:Gunsel\x0A\x0As\x0A	小槍手\x0A\x0A\x0A
monster:Harry	哈利（Harry）
monster:Hexborg\x0A\x0As\x0A	六角生化人\x0A\x0A\x0A
monster:Hired Gun\x0A\x0As\x0A	傭兵槍手\x0A\x0A\x0A
monster:Hobo	遊民
monster:Housekeeper\x0A\x0As\x0A	管家\x0A\x0A\x0A
monster:Huey\x0A\x0As\x0A	休伊（Huey）\x0A\x0A\x0A
monster:Humongous Coyote\x0A\x0As\x0A	巨型土狼\x0A\x0A\x0A
monster:Hunter\x0A\x0As\x0A	獵人\x0A\x0A\x0A
monster:Insect\x0A\x0As\x0A	昆蟲\x0A\x0A\x0A
monster:Iron Wol\x0Af\x0Aves\x0A	鐵狼\x0A\x0A\x0A
monster:Irwin John Finster	厄文約翰芬斯特（Irwin John Finster）
monster:Irwin John Finster\x0A\x0As\x0A	厄文約翰芬斯特（Irwin John Finster）\x0A\x0A\x0A
monster:Jailer Corbett	獄卒柯貝特（Jailer Corbett）
monster:Jailer Patrick	獄卒派翠克（Jailer Patrick）
monster:Jerk\x0A\x0As\x0A	混混\x0A\x0A\x0A
monster:Jerk Leader	混混首領
monster:Junk Master\x0A\x0As\x0A	廢料頭子\x0A\x0A\x0A
monster:Juv\x0Aenile\x0Aies\x0A	少年\x0A\x0A\x0A
monster:Kesa the Beggar\x0A\x0As\x0A	乞丐凱莎（Kesa the Beggar）\x0A\x0A\x0A
monster:Kid\x0A\x0As\x0A	小孩\x0A\x0A\x0A
monster:Killer\x0A\x0As\x0A	殺手\x0A\x0A\x0A
monster:Knifer\x0A\x0As\x0A	持刀客\x0A\x0A\x0A
monster:Kutie\x0A\x0As\x0A	美人兒\x0A\x0A\x0A
monster:Lad\x0Ay\x0Aies\x0A	女士\x0A\x0A\x0A
monster:Large Scorparundi\x0A\x0Aes\x0A	大蠍蜥\x0A\x0A\x0A
monster:Laser Hypermortar\x0A\x0As\x0A	雷射超級迫砲\x0A\x0A\x0A
monster:Laser Pod Blaster\x0A\x0As\x0A	雷射莢艙砲\x0A\x0A\x0A
monster:Laurie\x0A\x0As\x0A	蘿莉（Laurie）\x0A\x0A\x0A
monster:Leather Jerk\x0A\x0As\x0A	皮衣混混\x0A\x0A\x0A
monster:Leather Thug\x0A\x0As\x0A	皮衣暴徒\x0A\x0A\x0A
monster:Lie Spider	謊言蜘蛛
monster:Life-seeking Flamethrower\x0A\x0As\x0A	逐命火焰噴射器\x0A\x0A\x0A
monster:Little Pe\x0Arson\x0Aople\x0A	小矮人\x0A\x0A\x0A
monster:Lizard\x0A\x0As\x0A	蜥蜴\x0A\x0A\x0A
monster:Lost Soul\x0A\x0As\x0A	迷失之魂\x0A\x0A\x0A
monster:Louie\x0A\x0As\x0A	路易（Louie）\x0A\x0A\x0A
monster:Lunatic\x0A\x0As\x0A	瘋子\x0A\x0A\x0A
monster:M\x0Aan\x0Aen\x0A	男子\x0A\x0A\x0A
monster:Mad Dog Fargo	瘋狗法戈（Mad Dog Fargo）
monster:Madm\x0Aa\x0Ae\x0An	狂人\x0A\x0A\x0A
monster:Mailed Wol\x0Af\x0Aves\x0A	鎧甲狼\x0A\x0A\x0A
monster:Marksm\x0Aa\x0Ae\x0An	神射手\x0A\x0A\x0A
monster:Master Bruce	布魯斯大師（Master Bruce）
monster:Master Ciro	西羅大師（Master Ciro）
monster:Master Cylinder\x0A\x0As\x0A	主汽缸\x0A\x0A\x0A
monster:Master Dalis	達利斯大師（Master Dalis）
monster:Master Griffin	葛里芬大師（Master Griffin）
monster:Master Imaro	伊馬羅大師（Master Imaro）
monster:Master Paz	帕茲大師（Master Paz）
monster:Master Tomas	托馬斯大師（Master Tomas）
monster:Mayor Pedros	佩德羅斯鎮長（Mayor Pedros）
monster:Meditator\x0A\x0As\x0A	冥想者\x0A\x0A\x0A
monster:Mercenary\x0A\x0As\x0A	傭兵\x0A\x0A\x0A
monster:Metal Maniac	金屬狂人（Metal Maniac）
monster:Mistress Ginger	金潔女士（Mistress Ginger）
monster:Mistress Jennifer	珍妮佛女士（Mistress Jennifer）
monster:Mistress Kerin	凱琳女士（Mistress Kerin）
monster:Mistress Krys	克莉絲女士（Mistress Krys）
monster:Mistress Zenobia	澤諾比亞女士（Mistress Zenobia）
monster:Mk 10 Turbo Meson Cannon\x0A\x0As\x0A	10 型渦輪介子砲\x0A\x0A\x0A
monster:Mongrel\x0A\x0As\x0A	雜種狗\x0A\x0A\x0A
monster:Monk Johan	約翰修士（Monk Johan）
monster:Monk Petall	佩托修士（Monk Petall）
monster:Monk Russ	拉斯修士（Monk Russ）
monster:Mulefoot\x0A\x0As\x0A	騾腳（Mulefoot）\x0A\x0A\x0A
monster:Naked Molerat\x0A\x0As\x0A	裸鼴鼠\x0A\x0A\x0A
monster:New Waver\x0A\x0As\x0A	新浪潮客\x0A\x0A\x0A
monster:New and Improved Centron\x0A\x0As\x0A	改良型森特隆\x0A\x0A\x0A
monster:Night Screamer\x0A\x0As\x0A	夜嚎者\x0A\x0A\x0A
monster:Night Terror	夜之恐懼
monster:Nuclear Tech\x0Aie\x0Aies\x0A	核能技師\x0A\x0A\x0A
monster:Nuke Pooch\x0A\x0Aes\x0A	核爆犬\x0A\x0A\x0A
monster:Octotron\x0A\x0As\x0A	八爪機\x0A\x0A\x0A
monster:Opossum\x0A\x0As\x0A	負鼠\x0A\x0A\x0A
monster:Outlander\x0A\x0As\x0A	外地人\x0A\x0A\x0A
monster:Outlaw\x0A\x0As\x0A	亡命之徒\x0A\x0A\x0A
monster:Ozoner\x0A\x0As\x0A	臭氧客\x0A\x0A\x0A
monster:Pack Rat\x0A\x0As\x0A	囤物鼠\x0A\x0A\x0A
monster:Particle Beam Gattlin\x0A\x0As\x0A	粒子束加特林\x0A\x0A\x0A
monster:Pistolero\x0A\x0As\x0A	持槍歹徒\x0A\x0A\x0A
monster:Pit Ghoul\x0A\x0As\x0A	坑洞食屍鬼\x0A\x0A\x0A
monster:Plasma Constrictor\x0A\x0As\x0A	電漿絞蛇\x0A\x0A\x0A
monster:Police\x0Aman\x0A\x0A	警察\x0A\x0A\x0A
monster:Possum\x0A\x0As\x0A	負鼠\x0A\x0A\x0A
monster:Prairie Dog\x0A\x0As\x0A	草原犬鼠\x0A\x0A\x0A
monster:Priestess Elexa	艾蕾莎女祭司（Priestess Elexa）
monster:Prostitute\x0A\x0As\x0A	妓女\x0A\x0A\x0A
monster:Psychopathic Android	瘋狂人造人
monster:Punker\x0A\x0As\x0A	龐克客\x0A\x0A\x0A
monster:Rabid Dog\x0A\x0As\x0A	瘋狗\x0A\x0A\x0A
monster:Rad Rat\x0A\x0As\x0A	輻射鼠\x0A\x0A\x0A
monster:RadAngel\x0A\x0As\x0A	輻射天使\x0A\x0A\x0A
monster:Radiation Angel\x0A\x0As\x0A	輻射天使\x0A\x0A\x0A
monster:Radioactive Vermin	輻射害獸
monster:Rail Raider\x0A\x0As\x0A	鐵道劫匪\x0A\x0A\x0A
monster:Rail Thie\x0Af\x0Aves\x0A	鐵道竊賊\x0A\x0A\x0A
monster:Rat\x0A\x0As\x0A	老鼠\x0A\x0A\x0A
monster:Reclaimer\x0A\x0As\x0A	回收者\x0A\x0A\x0A
monster:Red Ryder\x0A\x0As\x0A	紅騎士\x0A\x0A\x0A
monster:Redhawk	紅鷹（Redhawk）
monster:Rib Cracker\x0A\x0As\x0A	碎肋者\x0A\x0A\x0A
monster:Rich Dand\x0Ay\x0Aies\x0A	闊少\x0A\x0A\x0A
monster:Rodento Gross\x0Ao\x0Ai\x0A	巨鼠\x0A\x0A\x0A
monster:Rottweiler\x0A\x0As\x0A	羅威納犬\x0A\x0A\x0A
monster:Roving Guard\x0A\x0As\x0A	巡邏守衛\x0A\x0A\x0A
monster:Rubble Fanger\x0A\x0As\x0A	瓦礫尖牙獸\x0A\x0A\x0A
monster:Sand Bum\x0A\x0As\x0A	沙地流浪漢\x0A\x0A\x0A
monster:Scav\x0A\x0As\x0A	拾荒者\x0A\x0A\x0A
monster:Scavenger\x0A\x0As\x0A	拾荒者\x0A\x0A\x0A
monster:Scorpitron\x0A\x0As\x0A	蠍式機（Scorpitron）\x0A\x0A\x0A
monster:Servant of the Mushroom Cloud\x0A\x0As\x0A	蕈狀雲僕從\x0A\x0A\x0A
monster:Shadow Panther\x0A\x0As\x0A	影豹\x0A\x0A\x0A
monster:Shadowclaw\x0A\x0As\x0A	影爪\x0A\x0A\x0A
monster:Shaft Slider\x0A\x0As\x0A	豎坑滑行獸\x0A\x0A\x0A
monster:Shambler Ghoul\x0A\x0As\x0A	蹣跚食屍鬼\x0A\x0A\x0A
monster:Shell Cougar\x0A\x0As\x0A	甲殼美洲獅\x0A\x0A\x0A
monster:Silicon Sniper\x0A\x0As\x0A	矽晶狙擊手\x0A\x0A\x0A
monster:Silver Strangler\x0A\x0As\x0A	銀色絞殺者\x0A\x0A\x0A
monster:Sister April	艾波修女（Sister April）
monster:Sister Faith	菲絲修女（Sister Faith）
monster:Sister Grace	葛蕾絲修女（Sister Grace）
monster:Sister Isolde	伊索德修女（Sister Isolde）
monster:Sister Jade	婕德修女（Sister Jade）
monster:Sister June	茱恩修女（Sister June）
monster:Sister Lucretia	露克蕾莎修女（Sister Lucretia）
monster:Sister Marie	瑪麗修女（Sister Marie）
monster:Sister May	梅伊修女（Sister May）
monster:Sister Phaedra	菲德拉修女（Sister Phaedra）
monster:Sister Theodosia	席奧多西亞修女（Sister Theodosia）
monster:Sister Tracy	崔西修女（Sister Tracy）
monster:Sister Ursula	烏蘇拉修女（Sister Ursula）
monster:Sister Violet	薇奧莉修女（Sister Violet）
monster:Sister Wrath	拉絲修女（Sister Wrath）
monster:Skink\x0A\x0As\x0A	石龍子\x0A\x0A\x0A
monster:Slicerdicer\x0A\x0As\x0A	切丁機\x0A\x0A\x0A
monster:Slithering Iguana\x0A\x0As\x0A	滑行鬣蜥\x0A\x0A\x0A
monster:Slithering Lizard\x0A\x0As\x0A	滑行蜥蜴\x0A\x0A\x0A
monster:Sniper	狙擊手
monster:Sniper\x0A\x0As\x0A	狙擊手\x0A\x0A\x0A
monster:Sniperdroid\x0A\x0As\x0A	狙擊機器人\x0A\x0A\x0A
monster:Sonar-targetted Proton Carbine\x0A\x0As\x0A	聲納導引質子卡賓槍\x0A\x0A\x0A
monster:Spawn Wol\x0Af\x0Aves\x0A	孳生狼\x0A\x0A\x0A
monster:Spawnmaster\x0A\x0As\x0A	孳生主宰\x0A\x0A\x0A
monster:Spiked Mut\x0A\x0As\x0A	尖刺變種人\x0A\x0A\x0A
monster:Spiker\x0A\x0As\x0A	尖刺客\x0A\x0A\x0A
monster:Spineback Puma\x0A\x0As\x0A	棘背美洲獅\x0A\x0A\x0A
monster:Spineless Ghoul\x0A\x0As\x0A	無脊食屍鬼\x0A\x0A\x0A
monster:Squint\x0A\x0As\x0A	瞇眼（Squint）\x0A\x0A\x0A
monster:Stainless Steel Flechette rifle\x0A\x0As\x0A	不鏽鋼飛鏢步槍\x0A\x0A\x0A
monster:Steel Reaver\x0A\x0As\x0A	鋼鐵掠奪者\x0A\x0A\x0A
monster:Tazel\x0A\x0As\x0A	塔澤爾\x0A\x0A\x0A
monster:Temple Guardian\x0A\x0As\x0A	神殿守衛\x0A\x0A\x0A
monster:Threshing Crawler\x0A\x0As\x0A	打穀爬行獸\x0A\x0A\x0A
monster:Thug\x0A\x0As\x0A	暴徒\x0A\x0A\x0A
monster:Titanium Clawer\x0A\x0As\x0A	鈦爪獸\x0A\x0A\x0A
monster:Topekan Child\x0A\x0Aren\x0A	托皮卡孩童\x0A\x0A\x0A
monster:Topekan Elder\x0A\x0As\x0A	托皮卡長老\x0A\x0A\x0A
monster:Topekan M\x0Aan\x0Aen\x0A	托皮卡男子\x0A\x0A\x0A
monster:Topekan Wom\x0Aan\x0Aen\x0A	托皮卡女子\x0A\x0A\x0A
monster:Town\x0Ay\x0Aies\x0A	鎮民\x0A\x0A\x0A
monster:Trash Slitherer\x0A\x0As\x0A	垃圾滑行獸\x0A\x0A\x0A
monster:Tronnosaur\x0Aus\x0As\x0A	電子龍\x0A\x0A\x0A
monster:Tronodile\x0A\x0As\x0A	電子鱷\x0A\x0A\x0A
monster:Tronosaur\x0Aus\x0As\x0A	電子龍\x0A\x0A\x0A
monster:Tunnel Lizard\x0A\x0As\x0A	隧道蜥蜴\x0A\x0A\x0A
monster:Turbo Cybertrike\x0A\x0As\x0A	渦輪電子三輪車\x0A\x0A\x0A
monster:Turbo Meson Cannon\x0A\x0As\x0A	渦輪介子砲\x0A\x0A\x0A
monster:Ugly John	醜臉約翰（Ugly John）
monster:Undergrounder\x0A\x0As\x0A	地下人\x0A\x0A\x0A
monster:VTOL Auto-fire Robot\x0A\x0As\x0A	垂直起降射擊機器人\x0A\x0A\x0A
monster:Vanadium Vulture\x0A\x0As\x0A	釩禿鷲\x0A\x0A\x0A
monster:Vandal\x0A\x0As\x0A	破壞者\x0A\x0A\x0A
monster:Vax\x0A\x0Aes\x0A	瓦克斯（Vax）\x0A\x0A\x0A
monster:Wacko Prisoner	瘋囚犯
monster:Warbot\x0A\x0As\x0A	戰鬥機器人\x0A\x0A\x0A
monster:Warden Jethro	傑斯羅典獄長（Warden Jethro）
monster:Warden Nicholas	尼可拉斯典獄長（Warden Nicholas）
monster:Warroid Mark 1\x0A\x0As\x0A	戰型機一號\x0A\x0A\x0A
monster:Warroid Mark 2\x0A\x0As\x0A	戰型機二號\x0A\x0A\x0A
monster:Warroid Mark 3\x0A\x0As\x0A	戰型機三號\x0A\x0A\x0A
monster:Waste Worm\x0A\x0As\x0A	廢土蠕蟲\x0A\x0A\x0A
monster:Wasteland Warrior\x0A\x0As\x0A	荒野戰士\x0A\x0A\x0A
monster:Weez	威茲（Weez）
monster:Widowmaker	寡婦製造者
monster:Wild Canine\x0A\x0As\x0A	野犬\x0A\x0A\x0A
monster:Wire-guided Anti-personel Missile\x0A\x0As\x0A	線導反人員飛彈\x0A\x0A\x0A
monster:Wom\x0Aan\x0Aen\x0A	女子\x0A\x0A\x0A
monster:Woman	女子
monster:Woman\x0A\x0As\x0A	女子\x0A\x0A\x0A
monster:Worshipper\x0A\x0As\x0A	崇拜者\x0A\x0A\x0A
monster:Xenon Laser Cannon\x0A\x0As\x0A	氙氣雷射砲\x0A\x0A\x0A
monster:Xray Laser Projector\x0A\x0As\x0A	X 光雷射投射器\x0A\x0A\x0A
monster:Young M\x0Aan\x0Aen\x0A	年輕男子\x0A\x0A\x0A
monster:Young Wom\x0Aan\x0Aen\x0A	年輕女子\x0A\x0A\x0A
