# game1 資源 33：針岩城的商業區（Hobo Dogs、神祕小舖、榴彈砲、電影海報牆）
#
# ⚠ 選項字母 A–F 與 Y 不翻，那是玩家按的鍵。
#
# 這張圖是整個遊戲的惡搞集中區：電影海報牆全是當年的片名戲仿
# （《亂世佳人》→ Gone With the Nuke Storm、《法櫃奇兵》→ Crater Raider），
# 水晶球裡那個巫師在罵「你以為這是 Bard's Tale 嗎」——那是 Interplay 自家的另一款遊戲。
# 片名照戲仿的方式翻，讓中文讀者也接得到梗；製作人員名單裡的人名一律保留原文。
blk:game1:33:1	\x0D你聽見「喀」一聲。\x0D
blk:game1:33:92	\x0D一張電腦軟體海報寫著：\x0D             「荒野遊俠！」\x0D\x0DIBM 版：Michael Quarles\x0D原始程式：Alan "T.J." Pavlish\x0D設計：\x0DBrian Fargo........Alan "T.J." Pavlish\x0DKen St. Andre.....Michael A. Stackpole\x0D地圖：\x0DBruce Balfour....Elizabeth T. Danforth\x0DChris Christensen...Jeff "T.G." Berman\x0DBill "Weez" Dugan.....Nishan Hossepian\x0DStance Nixon.......Alan "T.J." Pavlish\x0DKen St. Andre.....Michael A. Stackpole\x0DMike Williams............Daniel Carver\x0D美術：\x0DTodd J. Camasta........Charles Weidman\x0DBruce Schlickbernd\x0D導演：\x0DTroy P. Worrell\x0D測試與開發：\x0DBruce "Redbeard" Schlickbernd\x0DTom Decker\x0D精神支持：\x0DSusan Quarles\x0D\x0D輔導級。\x0D即將在你家附近的戲院上映。\x0D\x0D
blk:game1:33:93	\x0D下週：《巨無霸與變種人》！\x0D
blk:game1:33:94	\x0D下個月：《馬利歐、路易吉與火球》！\x0D
blk:game1:33:95	\x0D一張海報寫著：「你玩過遊戲了，現在來看電影：《彈坑奇兵》」。\x0D
blk:game1:33:96	\x0D一張海報寫著：《核爆隨風而逝》。\x0D
blk:game1:33:97	\x0D一個牌子寫著：「變種人不得進入」。\x0D
blk:game1:33:98	\x0D他不理你。\x0D
blk:game1:33:99	\x0D你踩過粉碎的瓦礫。\x0D
blk:game1:33:100	\x0D瓦礫擋住了你。\x0D
blk:game1:33:101	\x0D南牆上有一塊佈告欄。\x0D
blk:game1:33:102	\x0D你過不了這座毀壞平台的破爛邊緣。\x0D
blk:game1:33:103	\x0D桌子上方的牌子寫著：「血杖驗證台。請將待驗的血杖放在台上。」\x0D
blk:game1:33:104	\x0D驗證通過。請取回血杖。\x0D
blk:game1:33:105	\x0D只限血杖，謝謝。\x0D
blk:game1:33:106	\x0D喀啦喀啦。驗證失敗。\x0D
