# game2 資源 23：芬斯特的意識（Project Darwin 的最後對決）
#
# ⚠ 玩家要輸入的答案一律不翻：512／32／20／0／ZERO／NOTHING／ICEBERG／
# NEW YORK YANKEES／FINSTER／IRWIN FINSTER／IRWIN J FINSTER／IRWIN J. FINSTER／
# IRWIN JOHN FINSTER。數列題目（`2, 4, 8, 16, ?`）也照原樣保留。
#
# 這一段大量引用 1930 年代美國職棒（Christy Matthews、Joe McCarthy、
# Lou Gehrig、1936 年世界大賽）。人名與隊名譯出來會讓玩家答不出
# NEW YORK YANKEES，所以**題目裡的隊名保留原文**，敘述裡的人名照翻。
blk:game2:23:1	512
blk:game2:23:42	\x0D芬斯特死後，厚重的蛛網塞滿了這片死寂的地景，擋住了去路。\x0D
blk:game2:23:43	\x0D「肉塊碎屑，肉塊碎屑。我要把你剁成肉塊碎屑！」\x0D
blk:game2:23:44	\x0D「三思而後行！我想吃你的腦子！」\x0D
blk:game2:23:45	\x0D「母球進角袋！看到沒，我可是有報球路的！」\x0D
blk:game2:23:46	\x0D「這可能是你的大好機會！」\x0D
blk:game2:23:47	\x0D「我剛才有點不理性，對吧？我保證不會再發生了。」\x0D
blk:game2:23:48	\x0D欺騙之網擋住了你，堅如鋼鐵卻又透明。\x0D
blk:game2:23:49	「喔，看來我說自己理性是騙人的。我瘋了，是不是？我還以為那只是個無傷大雅的謊。」\x0D
blk:game2:23:50	「你不能在這裡。沒有東西能讓你越過這一點。」\x0D
blk:game2:23:51	NOTHING
blk:game2:23:52	\x0D「我是個騙子。我不會說任何幫得上你的話。」\x0D
blk:game2:23:53	\x0D「你以為那很簡單吧，嘻、嘻、嘻。」\x0D
blk:game2:23:54	\x0D「你知道棒球史是我的最愛嗎？來，我造一場夢幻比賽。或者，對你來說是惡夢。」\x0D
blk:game2:23:55	\x0D「投手，一個閃著微光的 Christy Matthews 全像投影拉開手臂投了出來。」\x0D
blk:game2:23:56	\x0D一支球棒在你手中成形，你擊中了那顆球！\x0D
blk:game2:23:57	\x0D你打出一支一壘安打。\x0D
blk:game2:23:58	\x0D你打出一支二壘安打！\x0D
blk:game2:23:59	\x0D你轟出一支三壘安打！！\x0D
blk:game2:23:60	\x0D你敲出一支全壘打！！！\x0D
blk:game2:23:61	\x0D「跑者離壘了……」\x0D
blk:game2:23:62	\x0D「揮棒落空。」\x0D
blk:game2:23:63	\x0D「一好球，哈！」\x0D
blk:game2:23:64	\x0D「兩好球，嘻、嘻」\x0D
blk:game2:23:65	\x0D「出局！去洗澡吧你！」\x0D
blk:game2:23:66	\x0D……盜壘時被刺殺出局！你完了。去洗澡吧！\x0D
blk:game2:23:67	\x0D「……而且盜壘成功！」\x0D
blk:game2:23:68	「所以，你自認很懂棒球？那 1936 年的世界大賽是誰贏的？」\x0D
blk:game2:23:69	NEW YORK YANKEES
blk:game2:23:70	\x0D一個天藍色的喬·麥卡錫影像搖了搖頭，往角落啐了一口。「我有魯·蓋瑞克，幹嘛用你？」\x0D
blk:game2:23:71	\x0D麥卡錫又啐了一口。「好吧小子，再給你一次機會。」\x0D
blk:game2:23:72	\x0D麥卡錫皺起眉頭。「小子，你要是說不出我為什麼該用你，我就沒辦法讓你上場。」\x0D
blk:game2:23:73	\x0D煙灰色的矽晶牆把你圍住。牆裡透出精細的電路線條。\x0D
blk:game2:23:74	\x0D你打碎矽晶牆，碎片四散，牆上留下一個參差的破洞。\x0D
blk:game2:23:75	\x0D這面矽晶牆在你的觸壓下微微彎曲。它看起來比外表脆弱。\x0D
blk:game2:23:76	\x0D芬斯特的聲音嘲弄著你。「來吧，你可以再用力一點。你是遊俠，不是嗎？」\x0D
blk:game2:23:77	站在你面前的是一具人形機器。一個聲音從他胸口轟然響起：「你來了。」聽起來像芬斯特！\x0D
blk:game2:23:78	芬斯特在你面前冒出來，扳起你這輩子見過最大的一把手槍的擊錘！\x0D
blk:game2:23:79	「我求你殺了我，現在你卻造出我們！」讓你毛骨悚然的是，兩個芬斯特從角落裡站了起來。\x0D
blk:game2:23:80	「拜託，我求你，殺了我。我沒辦法在自己瘋掉的意識裡活下去！」芬斯特一臉可憐。\x0D
blk:game2:23:81	\x0D碎裂的矽晶片在你腳下嘎吱作響。\x0D
blk:game2:23:82	\x0D你聽見一陣陰森的機械笑聲響起。「人要衣裝，對吧遊俠？」你找不到任何屍體！\x0D
blk:game2:23:83	\x0D你拿起那個罐子時，芬斯特的聲音刮過你的神經：「拿去吧遊俠，用它來接你的血。」\x0D
blk:game2:23:84	\x0D「換新遊戲了，遊俠。這次我玩真的，見血的那種。」\x0D
blk:game2:23:85	\x0D那張塑膠臉滴著黑血。眼睛睜開，頭顱開口了：「1912 年 4 月 15 日，我殺了一艘船。」\x0D\x0D「我是什麼？」\x0D
blk:game2:23:86	ICEBERG
blk:game2:23:87	\x0D你看到前方又有一塊路標，寫著：「最後機會！再往前就回不了頭了。」\x0D
blk:game2:23:88	IRWIN FINSTER
blk:game2:23:89	\x0D「我很佩服你，遊俠。你走得比任何人都遠，包括我的創造者。你是可敬的對手。不過，你終究只是人類。我給你一個選擇：用你的命換你同伴的命。往西是你，往東是殺了他們。」\x0D
blk:game2:23:90	\x0D結束了。\x0D
blk:game2:23:91	IRWIN J FINSTER
blk:game2:23:92	\x0D「傻瓜，我的話怎麼能信！你除了害死自己，還連累了朋友。所有出口都設了陷阱！\x0D你別想活著離開達爾文計畫！」\x0D
blk:game2:23:93	\x0D做也是死，
blk:game2:23:94	做了。\x0D
blk:game2:23:95	不做。\x0D
blk:game2:23:96	\x0D「你做了選擇，那就帶著它去死吧！」\x0D
blk:game2:23:97	IRWIN J. FINSTER
blk:game2:23:98	\x0D「看，腦波平了！那具人形機器贏了！」你聽見有人這麼說。朋友們的聲音裡滿是擔憂。\x0D
blk:game2:23:99	\x0D「不，你看，螢幕上有一道微弱的波。撐住啊遊俠，為你的命拼一下！」聲音裡透出希望。\x0D
blk:game2:23:100	\x0D有個聲音開始動搖：「那道波大概只是線路的雜訊。我們講的是腦死。」\x0D
blk:game2:23:101	\x0D「不對，你看！訊號變強了。撐住，遊俠，該死的，撐住啊！」\x0D
blk:game2:23:102	\x0D「波又要平了。那具人形機器要贏了。」\x0D
blk:game2:23:103	\x0D「看，波回來了，而且比之前都強。上啊遊俠，給他好看！」\x0D
blk:game2:23:104	\x0D「就差一點，但我覺得我們要輸了。可惡，我們什麼忙都幫不上。撐住啊！」\x0D
blk:game2:23:105	\x0D芬斯特的聲音完全慌了！「不！你不可能還在這裡。退後，出去，滾開！」\x0D
blk:game2:23:106	\x0D芬斯特咒罵起來！「退後，離開這裡，滾，不然我把你的肉從骨頭上燒下來！」\x0D
blk:game2:23:107	\x0D你四周瞬間竄起火焰，但你在被大火吞噬之前跳開了。\x0D
blk:game2:23:108	\x0D虛空爆成一片火海，你被捲了進去，才踉蹌著衝了出來。\x0D
blk:game2:23:109	\x0D你注意到前方閃著微光，猜到那是陷阱，於是一躍越過那十呎繼續前進。\x0D
blk:game2:23:110	\x0D連線已終止……謝謝惠顧\x0D
blk:game2:23:111	\x0D這裡什麼也沒發生。\x0D
blk:game2:23:112	\x0D你頭頂的天花板爆開，噴出漫天旋轉的剃刀鋼片。芬斯特的笑聲在牆間迴盪……\x0D
blk:game2:23:113	\x0D……然後戛然而止，因為你低身扭轉，從那場死亡風暴中脫身了！\x0D
blk:game2:23:114	\x0D……並且尖聲叫著，與鋼片撕開你身體的聲音合成一段駭人的伴奏。\x0D
blk:game2:23:115	芬斯特站在那裡。那是一具扭曲、變形、破裂的塑鋼人形。它尖叫著衝了過來。\x0D
blk:game2:23:116	\x0D芬斯特的聲音變成刺耳的嗡鳴嘶叫。「你聽見了嗎，遊俠？這就是終點。我會了結你。我會碾碎你。你也一樣，會死！」\x0D
blk:game2:23:117	IRWIN JOHN FINSTER
blk:game2:23:118	\x0D那具人形機器的軀體抽搐著，從上千個傷口噴出黑色液體。「好好用那張通行證。沒有它，你永遠拿不到沉睡者一號那裡的東西。而沒有那些武器，你永遠毀不掉孕育出我的地方，也毀不掉那些要把你們世界上所有生命清空的機器人！」隨著一聲爆響與火花，這具人形機器死了！\x0D
blk:game2:23:119	0
blk:game2:23:120	ZERO
blk:game2:23:121	\x0D你發現中央那個坑並非深不見底，而是一條出路。\x0D
