# game1 資源 2：石英城的史考特酒吧（Scott's Bar）
#
# ⚠ 全大寫的詞與密語**不翻**（A–F／Y／N／UGLY／GANG／MAYOR／RIDDLES／RIDDLER／
# COURTHOUSE／CHAT／DANCER／DRINK／BYE／GOODBYE／THANKS／THANK YOU／TOAST／
# R／LETTER R／THE LETTER R／URABUTLN）——那些是玩家要輸入或選取的詞。
# 選項字串（`\x10A) …`）裡的字母也要留著，那是玩家按的鍵。
blk:game1:2:1	\x0D這桌坐滿了，那些人不理你。你得坐別的地方。\x0D
blk:game1:2:27	\x0D幾個身材姣好的舞者跳上舞台。\x0D
blk:game1:2:28	\x0D噓聲四起。「你把女孩們趕跑了！」酒鬼們大喊，「那換你來娛樂我們！」\x0D
blk:game1:2:29	一個保鑣帶著同伴走上舞台中央。「這裡不是你待的地方，小子。下去！」\x0D
blk:game1:2:30	\x0D舞台是空的。\x0D
blk:game1:2:31	\x0D「你把舞者趕跑了！」群眾喊道，「你得娛樂我們！」\x0D
blk:game1:2:32	\x0D群眾一臉不悅，不逗他們開心就不讓你過。他們扔啤酒瓶和爛水果。\x0D
blk:game1:2:33	Y
blk:game1:2:34	N
blk:game1:2:35	\x0D你走出史考特的酒吧。\x0D
blk:game1:2:36	\x0D史考特酒吧又吵又煙霧瀰漫，人多桌也多。西邊是吧檯，東邊是一座矮舞台。\x0D
blk:game1:2:37	\x0D「喂，別推了，遊俠！你比阿醜幫那些打手還糟。」\x0D
blk:game1:2:38	你看到角落有兩個人扭打。其中一個轉身拔出手槍：「滾。」他咆哮。\x0D
blk:game1:2:39	\x0D你聽見角落傳來啜泣和嗚咽。\x0D
blk:game1:2:40	\x0D一個少年癱在角落，頭埋在手臂裡。「別殺我！」他哭喊，「你問什麼我都說！」\x0D
blk:game1:2:41	你想談什麼？\x0D
blk:game1:2:42	UGLY
blk:game1:2:43	GANG
blk:game1:2:44	MAYOR
blk:game1:2:45	RIDDLES
blk:game1:2:46	RIDDLER
blk:game1:2:47	\x0D你們不能全部坐這裡！\x0D
blk:game1:2:48	\x0D你讓他明白你沒有惡意。他還在發抖，但願意回答他知道的事。\x0D
blk:game1:2:49	\x0D那孩子啐了一口：「那個裹著皮衣的單細胞惡霸！他想把我姊姊蘿莉帶走！」\x0D
blk:game1:2:50	BYE
blk:game1:2:51	GOODBYE
blk:game1:2:52	THANKS
blk:game1:2:53	THANK YOU
blk:game1:2:54	\x0D這些怪胎在石英城到處都是。法院裡有一堆，荒廢街上更多。\x0D
blk:game1:2:55	COURTHOUSE
blk:game1:2:56	\x0D「鎮上每個人都知道他們把鎮長關在哪。法院在鵪鶉小徑上。」\x0D
blk:game1:2:57	\x0D「再見，也謝謝你！」\x0D
blk:game1:2:58	\x0D「那個老怪人的謎語真的很怪！蘿莉把一個正確答案抄在某張桌面上。」\x0D
blk:game1:2:59	\x0D「你聽說過法院那邊的阿醜幫嗎？去問吧檯北邊那個出謎語的。」\x0D
blk:game1:2:60	\x0D他一臉茫然地看著你，然後聳聳肩。他顯然不知道那件事。\x0D
blk:game1:2:61	坐在這裡的是個摔角手模樣的凶惡打手，一邊用髒杯子喝酒一邊傻笑。要挑個話題嗎？\x0D
blk:game1:2:62	CHAT
blk:game1:2:63	DANCER
blk:game1:2:64	DRINK
blk:game1:2:65	\x0D「我很愛聊天，但那個話題很無聊，」他說，喝著他那杯混濁的東西。\x0D
blk:game1:2:66	\x0D「你喜歡那些變種美女？其中一個超愛調情，害人惹上麻煩。」\x0D
blk:game1:2:67	\x0D「看過那個舞者了嗎？你不覺得我看起來像變種人吧？」\x0D
blk:game1:2:68	你看到一個老人坐在這裡，一臉鬱悶。「請我喝一杯吧，小夥子？」他問。\x0D\x0D\x11\x10是\x0D\x10否\x0D
blk:game1:2:69	\x0D老頭子露出缺牙的笑容。「多謝你了！」他說。\x0D\x0D\x11\x10是\x0D\x10否\x0D
blk:game1:2:70	\x0D他毫不在意地接受了你的拒絕。\x0D
blk:game1:2:71	\x0D你走近時，一個調皮的老人咧嘴笑了。他說：「你看起來很聰明。猜謎在行嗎？答對有賞！」\x0D
blk:game1:2:72	他眼睛一亮。「請我喝一杯吧，小子。出謎語很費口水的！」\x0D\x0D\x11\x10是\x0D\x10否\x0D
blk:game1:2:73	\x0D老謎語人大笑：「等你好奇心壓不住的時候就會回來了！」\x0D
blk:game1:2:74	「什麼東西早餐常吃，午餐有時吃，晚餐卻通常只用喝的？」\x0D
blk:game1:2:75	TOAST
blk:game1:2:76	\x0D「恭喜！完全正確。」\x0D
blk:game1:2:77	「那就再來一題。不過先再請我一杯，好嗎」\x0D\x0D\x11\x10是\x0D\x10否\x0D
blk:game1:2:78	\x0D老人咧嘴笑，露出黃牙。「不錯的嘗試，」他說，「可惜差一點。」\x0D
blk:game1:2:79	「什麼東西在 America 和 Australia 的正中央都找得到？」\x0D
blk:game1:2:80	R
blk:game1:2:81	LETTER R
blk:game1:2:82	THE LETTER R
blk:game1:2:83	「最後一題，」他說，「但很重要。只用八個字母，你要怎麼稱讚酒吧女侍？」\x0D
blk:game1:2:84	URABUTLN
blk:game1:2:85	\x0D「完全正確！」他咯咯笑道，「去這樣跟她說，你的事情會好辦得多。」他謝過你請的酒就走了。\x0D
blk:game1:2:86	\x0D一個漂亮的女侍快步走過。她的名牌寫著：「嗨，我是艾倫！」她只有在吧檯附近才會停下來。\x0D
blk:game1:2:87	女侍艾倫忙得團團轉。「你有話要跟我說？」她沒好氣地問。\x0D
blk:game1:2:88	\x0D「我還有桌子要顧。要喝的找史考特。」\x0D
blk:game1:2:89	\x0D「去去去！我沒空跟你們這種人瞎扯！」\x0D
blk:game1:2:90	\x0D她笑得很開。「URAQT2，而且我打賭你還很可靠。」\x0D
blk:game1:2:91	\x0D「拿我的房間鑰匙——驛馬車，十八號——你會知道該怎麼做。」她眨眨眼，回去工作了。\x0D
blk:game1:2:92	「要點什麼？」史考特問。\x0D\x0D\x11\x10A) 普通泥漿\x0D\x10B) 高級泥漿\x0D\x10C) 烈火水\x0D\x10D) 咖啡\x0D\x10E) 消息\x0D\x10F) 聊天\x0D
blk:game1:2:93	\x0D呃……這東西的味道糟透了！\x0D
blk:game1:2:94	\x0D哇！那玩意兒一路燒到胃裡。\x0D
blk:game1:2:95	\x0D史考特笑了。「全鎮最好的——我自己喝的就是這個！」\x0D
blk:game1:2:96	\x0D「我們沒有那種東西？」\x0D
blk:game1:2:97	\x0D「真希望我有空聊天！」史考特哀嘆，「不過酒吧裡別的地方也許運氣會好一點。」\x0D
blk:game1:2:98	「消息也要錢：」\x0D\x0D\x11\x10A) 舞者 $1\x0D\x10B) 打手 $20\x0D\x10C) 謎語 $10\x0D\x10D) 彈藥 $5\x0D\x10E) 遊俠 $5\x0D
blk:game1:2:99	\x0D「阿醜有三個保管金庫密碼的硬漢。他們是三胞胎。」\x0D
blk:game1:2:100	\x0D「最後一題的答案在東北角那張桌面上。」\x0D
blk:game1:2:101	\x0D「你可以在月亮路和環路口的店裡買彈藥。」\x0D
blk:game1:2:102	\x0D「有個叫王牌的人在找幾個能打的跟他一起回維加斯。那邊出了不好的事。」\x0D
blk:game1:2:103	\x0D這桌的本地人正在交談。他們停了下來，盯著你看，直到你走開。\x0D
blk:game1:2:104	\x0D你聽到的內容足以讓你明白，鎮民很擔心被幫派扣住的鎮長和其他人質。\x0D
blk:game1:2:105	\x0D請看第 23 段。\x0D
blk:game1:2:106	\x0D一個肌肉結實的女人在門口攔住你。「裡面有女士，先生們。走你們自己那間。」\x0D
blk:game1:2:107	\x0D那女人態度堅決，不讓男性進去。\x0D
blk:game1:2:108	\x0D洗手台邊有兩個女人，你一進來她們就不說話了。其中一位剛哭過。\x0D
blk:game1:2:109	\x0D你說了句話，兩人立刻被打動，笑了出來。「也許你們能幫我們？」她們說。\x0D
blk:game1:2:110	\x0D她們沉默地盯著你。\x0D
blk:game1:2:111	\x0D請看第 10 段。\x0D
blk:game1:2:112	「別碰那個轉盤，我們還要再聽一次拉特！」點唱機旁的打手抽出刀子撲了上來。\x0D
blk:game1:2:113	\x0D你注意到屍體上寫了字。\x0D
blk:game1:2:114	\x0D那些字是：GEN QUART THANA TOES。\x0D
blk:game1:2:115	\x0D你靈光一閃：他們的總部——大概是個藏身處——密語是 THANATOS。\x0D
blk:game1:2:116	\x0D這張桌面上有人用灑出來的酒寫下 UQTU。\x0D
blk:game1:2:117	一個槍手從陰影裡走出來，喝道：「我們這是私人牌局。沒請你！」\x0D
blk:game1:2:118	玩牌的人停下牌局抓起槍。其中一個拿的是步槍！\x0D
blk:game1:2:119	\x0D「我沒空陪你們胡鬧」，她瞪了一眼，匆匆走向另一桌。\x0D
blk:game1:2:120	\x0D史考特朝你聳聳肩，繼續擦他的東西。\x0D
blk:game1:2:121	\x0D砰！直接撞上牆！身後有人嘀咕著這裡怎麼放酒鬼進來。\x0D
blk:game1:2:122	\x0D你從裝了鐵欄的窗戶往街上看。外面相當平靜。\x0D
blk:game1:2:123	\x0D你每次都往牆上撞嗎？\x0D
blk:game1:2:124	\x0D「喂，酒鬼別趴在吧檯上！」酒保喊道。\x0D
blk:game1:2:125	\x0D這個隔間只夠一個人。\x0D
blk:game1:2:126	有幾個打手看你的髮型不順眼。\x0D
blk:game1:2:128	\x0D你的搞笑逗樂了群眾，他們讓你下台了。\x0D
blk:game1:2:129	\x0D群眾對你笨拙的表演很不滿。他們朝你扔爛水果和啤酒瓶。\x0D
blk:game1:2:130	\x0D「喂，看著點！我坐這裡。」\x0D
blk:game1:2:131	\x0D碎顱者請你坐下。\x0D
blk:game1:2:132	\x0D請看第 57 段。\x0D
blk:game1:2:133	\x0D「別站到桌子上！」\x0D
