# 表 2：技能（1–35）與物品（36–130）
# 物品名帶單複數分段（\x0A）：字根\x0A單數字尾\x0A複數字尾。
# 中文沒有複數，字尾留空但**分段數量必須與原文相同**（build_lang.py 會擋）。
exe:2:1	鬥毆
exe:2:60	M1989A1 北約突擊步槍\x0A\x0A\x0A
exe:2:61	雷射手槍\x0A\x0A\x0A
exe:2:62	離子光束槍\x0A\x0A\x0A
exe:2:63	雷射卡賓槍\x0A\x0A\x0A
exe:2:64	雷射步槍\x0A\x0A\x0A
exe:2:65	介子砲\x0A\x0A\x0A
exe:2:66	點四五彈匣\x0A\x0A\x0A
exe:2:67	7.62 公釐彈匣\x0A\x0A\x0A
exe:2:68	九釐米彈匣\x0A\x0A\x0A
exe:2:69	榴彈砲彈\x0A\x0A\x0A
exe:2:70	能量電池\x0A\x0A\x0A
exe:2:71	動力裝甲\x0A\x0A\x0A
exe:2:72	防彈衣\x0A\x0A\x0A
exe:2:73	凱夫勒背心\x0A\x0A\x0A
exe:2:74	皮夾克\x0A\x0A\x0A
exe:2:75	凱夫勒套裝\x0A\x0A\x0A
exe:2:76	仿甲殼護甲\x0A\x0A\x0A
exe:2:77	防輻射衣\x0A\x0A\x0A
exe:2:78	長袍\x0A\x0A\x0A
exe:2:79	書\x0A\x0A\x0A
exe:2:80	水壺\x0A\x0A\x0A
exe:2:81	撬棍\x0A\x0A\x0A
exe:2:82	引擎\x0A\x0A\x0A
exe:2:83	防毒面具\x0A\x0A\x0A
exe:2:84	蓋革計數器\x0A\x0A\x0A
exe:2:85	手鏡\x0A\x0A\x0A
exe:2:86	水罐\x0A\x0A\x0A
exe:2:87	地圖\x0A\x0A\x0A
exe:2:88	火柴\x0A\x0A\x0A
exe:2:89	鶴嘴鋤\x0A\x0A\x0A
exe:2:90	繩索\x0A\x0A\x0A
exe:2:91	鏟子\x0A\x0A\x0A
exe:2:92	大鎚\x0A\x0A\x0A
exe:2:93	蛇汁\x0A\x0A\x0A
exe:2:94	機器人頭顱\x0A\x0A\x0A
exe:2:95	解毒劑\x0A\x0A\x0A
exe:2:96	芬斯特的頭顱\x0A\x0A\x0A
exe:2:97	黑星鑰匙\x0A\x0A\x0A
exe:2:98	血杖\x0A\x0A\x0A
exe:2:99	血杖\x0A\x0A\x0A
exe:2:100	壞掉的烤麵包機\x0A\x0A\x0A
exe:2:101	化學藥劑\x0A\x0A\x0A
exe:2:102	複製人培養液\x0A\x0A\x0A
exe:2:103	簽帳卡\x0A\x0A\x0A
exe:2:104	融合電池\x0A\x0A\x0A
exe:2:105	食草蝠護符\x0A\x0A\x0A
exe:2:109	新星鑰匙\x0A\x0A\x0A
exe:2:110	縞瑪瑙戒指\x0A\x0A\x0A
exe:2:111	萬能鑰匙\x0A\x0A\x0A
exe:2:112	電漿耦合器\x0A\x0A\x0A
exe:2:113	能量轉換器\x0A\x0A\x0A
exe:2:114	脈衝星鑰匙\x0A\x0A\x0A
exe:2:115	類星體鑰匙\x0A\x0A\x0A
exe:2:116	唯讀記憶體板\x0A\x0A\x0A
exe:2:117	十八號房鑰匙\x0A\x0A\x0A
exe:2:118	紅寶石戒指\x0A\x0A\x0A
exe:2:119	一號安全通行證\x0A\x0A\x0A
exe:2:120	三號安全通行證\x0A\x0A\x0A
exe:2:121	七號安全通行證\x0A\x0A\x0A
exe:2:122	A 號安全通行證\x0A\x0A\x0A
exe:2:123	B 號安全通行證\x0A\x0A\x0A
exe:2:124	伺服馬達\x0A\x0A\x0A
exe:2:125	音波鑰匙\x0A\x0A\x0A
exe:2:126	烤麵包機\x0A\x0A\x0A
exe:2:127	陶罐\x0A\x0A\x0A
exe:2:128	水果\x0A\x0A\x0A
exe:2:129	珠寶
exe:2:130	現金
