# game1 資源 34：針岩城的加油站、蘑菇雲教堂與警察局
#
# ⚠ 密語與玩家要輸入的答案不翻：Y／R／A／N／M／T／0／1／
# DIPSTICK／BUZZARD／PASTEL／TODD。
blk:game1:34:1	\x0D好痛！這是實心磚牆。\x0D
blk:game1:34:23	「我看你的吉普車壞了。要我修嗎？」\x0D\x0D\x11\x10是\x0D\x10否\x0D
blk:game1:34:24	\x0D他很快檢查了吉普車，告訴你它需要一顆新引擎。\x0D
blk:game1:34:25	\x0D離開加油站。\x0D
blk:game1:34:26	\x0D「不過引擎這年頭很難找。」\x0D
blk:game1:34:27	BUZZARD
blk:game1:34:28	PASTEL
blk:game1:34:29	你的吉普車修好停在這裡，王牌也準備好了。你要現在離開針岩城嗎？\x0D\x0D\x11\x10是\x0D\x10否\x0D
blk:game1:34:30	\x0D「請小心使用。」\x0D
blk:game1:34:31	\x0D「很抱歉，那件事我幫不上忙。」\x0D
blk:game1:34:32	\x0D「血杖被借走了。」\x0D
blk:game1:34:33	\x0D離開蘑菇雲僕從教堂。\x0D
blk:game1:34:34	\x0D跑了很長一段路之後，你的吉普車噗噗喘氣，最後（幸好）停在一間加油站。\x0D
blk:game1:34:35	\x0D一個牌子寫著：「小心攻擊型警察。」\x0D
blk:game1:34:36	\x0D哈利和服務員在打他們那場永遠打不完的壁球。\x0D
blk:game1:34:37	\x0D「你哪天想修了，我幫你把車留著。」\x0D
blk:game1:34:38	\x0D這裡是警察局。東邊是彈簧門。\x0D
blk:game1:34:39	\x0D這些是單向的牢門。從這一側打不開。\x0D
blk:game1:34:40	\x0D機器警員的桌子，堆滿了文件。\x0D
blk:game1:34:41	一個黝黑的城市滑頭。\x0D
blk:game1:34:42	一個窩囊的機器警員坐在桌後，被文件淹沒。「幹嘛？」它沒好氣地問。\x0D\x0D\x11\x10報案\x0D\x10約見偵探\x0D\x10守望相助須知\x0D
blk:game1:34:43	R
blk:game1:34:44	A
blk:game1:34:45	N
blk:game1:34:46	\x0D那個窩囊警員翻了翻筆記本說：「算你走運，他現在有空。順著走廊走，左邊第一扇門。快去啊！」\x0D
blk:game1:34:47	\x0D它甩給你一本守望相助手冊，然後回頭埋首工作。請看第 104 段。\x0D
blk:game1:34:48	那個窩囊警員掏出一本小黑本子。「你要報的是：\x0D\x0D\x11\x10謀殺還是\x0D\x10竊盜？」\x0D
blk:game1:34:49	M
blk:game1:34:50	T
blk:game1:34:51	「好，是誰幹的？」\x0D
blk:game1:34:52	「被偷了什麼？」\x0D
blk:game1:34:53	\x0D機器警員在筆記本上寫了些什麼，然後收起來。請看第 111 段。\x0D
blk:game1:34:55	\x0D門上的牌子寫著「史班·夏德，偵探」。\x0D
blk:game1:34:56	\x0D那個瀕死的警察用最後一口氣大喊求救。\x0D
blk:game1:34:57	\x0D牆上有一個警鈴。\x0D
blk:game1:34:58	\x0D牆上有一個警鈴，正刺耳地響著。\x0D
blk:game1:34:60	\x0D它擋住了你的動作。\x0D
blk:game1:34:61	\x0D這是通訊中心。南牆邊有幾個空的鴿籠。\x0D
blk:game1:34:62	\x0D一根棲木上停著一隻鴿子。鴿腳上綁著一則訊息：請看第 127 段。\x0D
blk:game1:34:63	\x0D成堆的複雜無線電設備全被砸爛到修不好，扔在這個角落。\x0D
blk:game1:34:64	\x0D可容納 25 名機器警員的營房。\x0D
blk:game1:34:65	\x0D你把門推開。\x0D
blk:game1:34:66	\x0D牢門關著。\x0D
blk:game1:34:67	\x0D在滿是灰塵的黑暗中，你看見雷射光束在眼前交錯！\x0D
blk:game1:34:68	\x0D這道裝甲門關著。關得非常死。\x0D
blk:game1:34:69	\x0D你觸發了陷阱！黑暗中藏著的自動步槍開火了！\x0D
blk:game1:34:70	\x0D這裡是停屍間。空氣中瀰漫著刺鼻的福馬林味。\x0D
blk:game1:34:71	\x0D一疊疊裝著屍體的屍袋。\x0D
blk:game1:34:72	\x0D彈簧門。\x0D
blk:game1:34:73	\x0D解剖室。空氣中滿是福馬林。\x0D
blk:game1:34:74	\x0D一具腐爛的屍體，少了好幾個器官。\x0D
blk:game1:34:75	\x0D架上放著一罐罐保存的器官。\x0D
blk:game1:34:76	\x0D牆上用粉筆寫著：\x0D 杜根，B —— 輻射過量\x0D 克里斯登森，C —— 炭疽\x0D 戈尼夫，T —— 肝硬化\x0D
blk:game1:34:77	\x0D史班的辦公桌。防爆玻璃從天花板一直延伸到地板。\x0D
blk:game1:34:78	\x0D史班·夏德抬頭看著你。請看第 61 段。\x0D
blk:game1:34:79	\x0D他看見你的紅寶石戒指。請看第 158 段。\x0D
blk:game1:34:80	\x0D山姆回頭忙他的事，說：「我想你們是想知道血杖的事。」請看第 29 段。\x0D
blk:game1:34:81	\x0D你沒有把它打開！\x0D
blk:game1:34:82	一大群憤怒的機器警員朝你們過來。\x0D
blk:game1:34:83	桌邊那個機器警員跳了起來，手槍已經上膛。\x0D
blk:game1:34:84	一個留莫霍克頭的年輕混混衝向你。\x0D
blk:game1:34:85	\x0D「好吧，那你想修的時候再回來。」他回去打他的球。\x0D
blk:game1:34:86	TODD
blk:game1:34:87	\x0D「陶德？呼。」他神情一凜。我們盯那個人渣有一陣子了。我們會留意，不過他是個非常難纏的傢伙。\x0D
blk:game1:34:88	\x0D「幸會！」\x0D
blk:game1:34:89	\x0D「謝謝你。」\x0D
blk:game1:34:90	\x0D等你有錢再回來。\x0D
blk:game1:34:91	\x0D「你的吉普車修好了。開的時候小心點。這一帶最近出了幾樁奇怪的凶殺案。看到可疑的人就報警。再見！」他又睡著了。\x0D
blk:game1:34:92	寫著「警報」的牌子底下有兩個按鈕。要按哪一個？\x0D\x11\x100\x0D\x101\x0D
blk:game1:34:93	0
blk:game1:34:94	1
blk:game1:34:95	\x0D你聽見遠處傳來隆隆的摩擦聲，然後歸於寂靜。\x0D
blk:game1:34:96	\x0D喀。\x0D
blk:game1:34:97	\x0D這是警局的軍械庫。\x0D
blk:game1:34:98	\x0D那道厚重的門敞開著。\x0D
blk:game1:34:99	\x0D這輛吉普車對你來說太複雜了，你不會開。\x0D
