# game1 資源 4：阿醜幫的藏身處（Ugly's hideout）
#
# ⚠ 密語、關鍵字與代碼不翻：KAPUT／THANATOS／STINGER／PIGFACE／MADWOLF／
# SKULKER／GRUNT／AZRAEL／MORS／Y／N／O，以及保險箱與炸彈的號碼
# （`11 16 27`／`11-16-27`／`11-27-57-04-30`）。
blk:game1:4:1	\x0D砰！\x0D
blk:game1:4:71	\x0D阿醜說：「讓我活著走出去，我就給你拆彈的密碼。看你們的樣子，沒有密碼是拆不掉的。」\x0D
blk:game1:4:72	\x0D阿醜的房間。\x0D
blk:game1:4:73	從浴室角落撲出……\x0D
blk:game1:4:74	\x0D費莉西亞的碎塊散落一地。\x0D
blk:game1:4:75	「成交嗎？」\x0D\x0D\x11\x10是\x0D\x10否\x0D
blk:game1:4:76	Y
blk:game1:4:77	N
blk:game1:4:78	\x0D阿醜說：「請看第 26 段。」然後他撥了炸彈上的一個開關就跑了。\x0D
blk:game1:4:79	\x0D你看見費莉西亞身上的炸彈閃著黃燈和紅燈。\x0D
blk:game1:4:80	\x0D你讓黃燈停了下來。\x0D
blk:game1:4:81	\x0D轟！\x0D
blk:game1:4:82	\x0D紅燈還在閃。\x0D
blk:game1:4:83	\x0D你成功拆掉炸彈。費莉西亞感激不盡。\x0D
blk:game1:4:84	「嗨。我叫費莉西亞。」\x0D
blk:game1:4:85	\x0D請看第 126 段。\x0D
blk:game1:4:86	輸入炸彈密碼：\x0D
blk:game1:4:87	\x0D「我很樂意加入你們。」\x0D
blk:game1:4:88	11-27-57-04-30
blk:game1:4:89	\x0D燈閃得更快了。\x0D
blk:game1:4:91	\x0D這間牢房鎖著。\x0D
blk:game1:4:92	「我是王牌。拜託放我出去。」\x0D
blk:game1:4:93	\x0D你聽見這間牢房裡有窸窣聲。\x0D
blk:game1:4:95	\x0D牢房還是關著。\x0D
blk:game1:4:96	\x0D請看第 35 段。\x0D
blk:game1:4:97	\x0D別站到櫃檯上。\x0D
blk:game1:4:98	\x0D屋頂上的狙擊手朝你開火。\x0D
blk:game1:4:99	\x0D你注意到那張地圖有點怪，把它挪開。\x0D
blk:game1:4:100	這裡有一個保險箱。可以試著 O)開它，或輸入密碼（"XX-XX-XX"）。\x0D
blk:game1:4:101	11 16 27
blk:game1:4:102	11-16-27
blk:game1:4:103	O
blk:game1:4:104	喀一聲開了。\x0D
blk:game1:4:105	\x0D你試著打開保險箱，
blk:game1:4:106	成功了。\x0D
blk:game1:4:107	但沒有用。\x0D
blk:game1:4:108	\x0D這只是一個空衣櫃。\x0D
blk:game1:4:109	什麼也沒發生。\x0D
blk:game1:4:110	\x0D你轉動轉盤，
blk:game1:4:111	AZRAEL
blk:game1:4:112	MORS
